minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,errors,invalid_json,cost_min_usd
0,6204,861,7065,0.6684848409088524,0.3451272500005871,22,0,0,0.0
1,3102,415,3517,0.41985081818149245,0.37369480000052135,11,0,0,0.0
2,2538,382,2920,0.37317141111068647,0.36901209999996354,9,0,0,0.0
3,3666,510,4176,0.3574648615389239,0.3553682999990997,13,0,0,0.0
4,5640,789,6429,0.35731348999997864,0.34215594999841414,20,0,0,0.0
5,3666,520,4186,0.36194147692311585,0.3585860999992292,13,0,0,0.0
6,2820,389,3209,0.37219890000051237,0.3837425500005338,10,0,0,0.0
7,5358,771,6129,0.36046158421021046,0.35586070000135805,19,0,0,0.0
8,3948,571,4519,0.36120858571406905,0.34003274999849964,14,0,0,0.0
9,3102,425,3527,0.35482450000067317,0.3427162000007229,11,0,0,0.0
10,2820,413,3233,0.34516280999960147,0.33995019999929355,10,0,0,0.0
11,3948,575,4523,0.333222592857315,0.3327221499985171,14,0,0,0.0
12,5076,707,5783,0.33924568333289545,0.3420392999996693,18,0,0,0.0
13,3948,561,4509,0.3589012857142474,0.3637488999993366,14,0,0,0.0
14,3948,518,4466,0.3526847928564426,0.3538245999989158,14,0,0,0.0
