npc_id,t_send,t_recv,latency_s,ok_json,tokens_in,tokens_out,error,minute
0,26806.5724349,26807.4893834,0.9169484999983979,1,282,41,,0
4,26806.5805844,26807.8829067,1.3023223000018334,1,282,39,,0
1,26806.5783013,26807.8973087,1.3190074000012828,1,282,51,,0
3,26806.5798922,26809.1429511,2.563058899999305,1,282,36,,0
2,26806.5792455,26809.2567888,2.677543300000252,1,282,41,,0
4,26809.4370351,26809.7856469,0.3486118000000715,1,282,41,,0
3,26809.6769033,26810.0001042,0.32320090000212076,1,282,37,,0
2,26812.4998687,26812.7850476,0.2851788999978453,1,282,37,,0
3,26814.7780113,26815.1176063,0.33959499999764375,1,282,37,,0
4,26821.9618919,26822.3735101,0.41161819999979343,1,282,50,,0
2,26822.8589072,26823.19329,0.3343827999997302,1,282,39,,0
4,26822.8591085,26823.2373209,0.378212399999029,1,282,35,,0
1,26823.1600907,26823.5724068,0.4123161000024993,1,282,39,,0
4,26825.3898716,26825.7259503,0.33607869999832474,1,282,37,,0
2,26828.6859677,26828.9699311,0.28396340000108466,1,282,37,,0
2,26834.1439017,26834.5923117,0.44840999999723863,1,282,37,,0
4,26838.8747923,26839.2045297,0.32973739999943064,1,282,43,,0
2,26848.4639473,26848.7957616,0.33181429999967804,1,282,37,,0
1,26850.5358446,26850.8224047,0.2865601000012248,1,282,34,,0
0,26855.3449308,26855.6860187,0.34108789999663713,1,282,41,,0
2,26857.548942,26857.9443175,0.3953755000002275,1,282,44,,0
4,26859.6788682,26860.0205109,0.34164270000110264,1,282,28,,0
0,26866.7478571,26867.4260835,0.6782263999994029,1,282,36,,1
2,26867.5319749,26867.8772027,0.34522780000042985,1,282,45,,1
4,26867.73094,26868.1055859,0.3746458999994502,1,282,37,,1
4,26873.2978832,26873.671578,0.37369480000052135,1,282,44,,1
4,26875.0140327,26875.3392379,0.32520519999889075,1,282,29,,1
4,26881.7449348,26882.1681913,0.4232564999983879,1,282,39,,1
1,26882.1109007,26882.4330405,0.3221397999986948,1,282,44,,1
4,26882.4830371,26882.8297303,0.34669320000102744,1,282,28,,1
0,26904.3178875,26905.0427888,0.7249013000000559,1,282,35,,1
0,26917.7459035,26918.1595432,0.41363970000020345,1,282,42,,1
0,26921.4035085,26921.6942369,0.2907283999993524,1,282,36,,1
0,26946.3163551,26946.69875,0.38239489999978105,1,282,39,,2
1,26949.8836226,26950.1919688,0.30834620000314317,1,282,47,,2
3,26954.6189472,26954.9723361,0.3533888999991177,1,282,42,,2
2,26957.1840072,26957.5073333,0.3233260999986669,1,282,43,,2
1,26963.172466,26963.5423853,0.36991929999931017,1,282,39,,2
0,26972.2232752,26972.6579034,0.43462819999695057,1,282,43,,2
1,26978.0850402,26978.5915272,0.5064869999987422,1,282,48,,2
3,26979.7802982,26980.1493103,0.36901209999996354,1,282,41,,2
3,26982.2520802,26982.5631202,0.3110400000005029,1,282,40,,2
2,26987.2044851,26987.5107352,0.30625010000221664,1,282,37,,3
1,26993.9235166,26994.345665,0.4221484000008786,1,282,47,,3
4,26999.6899791,27000.1530249,0.4630457999992359,1,282,37,,3
2,27002.6445966,27002.98988,0.34528340000179014,1,282,39,,3
0,27003.3578172,27003.7078267,0.3500094999981229,1,282,40,,3
0,27008.5115875,27008.8150671,0.3034795999992639,1,282,37,,3
0,27010.9049237,27011.260292,0.3553682999990997,1,282,42,,3
2,27029.8345274,27030.1923045,0.35777710000184015,1,282,39,,3
3,27032.2888622,27032.6514852,0.36262300000089454,1,282,38,,3
1,27032.5943387,27032.962381,0.36804230000052485,1,282,39,,3
4,27035.848218,27036.2184452,0.3702272000009543,1,282,35,,3
3,27041.2050657,27041.5119624,0.30689669999992475,1,282,40,,3
2,27045.6876905,27046.0235823,0.3358918000012636,1,282,40,,3
0,27046.4998715,27046.8309411,0.3310696000007738,1,282,41,,4
2,27053.68734,27054.0378785,0.3505384999989474,1,282,45,,4
0,27058.5599511,27058.8544026,0.2944515000017418,1,282,39,,4
2,27060.7057899,27061.0013275,0.29553759999907925,1,282,38,,4
3,27060.9368825,27061.3211643,0.3842818000011903,1,282,34,,4
