npc_id,t_send,t_recv,latency_s,ok_json,tokens_in,tokens_out,error,minute
4,20246.642867,20250.4660452,3.8231782000002568,1,323,44,,0
1,20246.641056,20250.8266482,4.185592199999519,1,323,47,,0
2,20246.6418336,20250.8786347,4.236801099999866,1,323,51,,0
3,20246.6423257,20252.1012806,5.4589549000011175,1,323,39,,0
0,20246.635538,20252.2174264,5.581888400000025,1,323,42,,0
4,20252.0382806,20252.4063917,0.36811109999689506,1,323,42,,0
3,20252.6512494,20252.9403313,0.28908189999856404,1,323,49,,0
2,20254.1042821,20254.3936215,0.2893393999984255,1,323,44,,0
3,20257.7221813,20258.0625776,0.3403963000018848,1,323,29,,0
2,20264.474199,20264.8712855,0.3970865000010235,1,323,50,,0
4,20264.5832826,20264.9850829,0.4018002999982855,1,323,36,,0
4,20265.4872908,20265.7838205,0.2965297000009741,1,323,56,,0
1,20266.0792226,20266.4415695,0.3623468999976467,1,323,57,,0
4,20267.9444874,20268.3456668,0.401179399999819,1,323,36,,0
2,20270.3814051,20270.7343652,0.3529601000009279,1,323,58,,0
2,20275.9143572,20276.2594638,0.3451066000015999,1,323,62,,0
4,20281.4836953,20282.0064844,0.5227890999994997,1,323,108,,0
2,20290.1243459,20290.5153301,0.39098419999936596,1,323,36,,0
1,20293.3863107,20293.7341691,0.3478584000004048,1,323,37,,0
2,20299.2626466,20299.6776061,0.41495949999807635,1,323,52,,0
0,20300.0507386,20300.3644073,0.31366870000056224,1,323,51,,0
4,20302.5072887,20302.8358498,0.3285611000028439,1,323,39,,0
2,20309.2653929,20309.7485527,0.48315979999824776,1,323,62,,1
4,20310.5473246,20310.9193934,0.372068799999397,1,323,50,,1
0,20311.4252227,20311.788683,0.363460299999133,1,323,46,,1
4,20316.1135437,20316.5166544,0.4031106999973417,1,323,115,,1
4,20317.8531753,20318.1829933,0.32981800000197836,0,323,44,,1
4,20324.5867845,20324.9597148,0.37293030000000726,1,323,41,,1
1,20325.0131989,20325.3172639,0.30406500000026426,1,323,48,,1
4,20325.2772758,20325.6419759,0.36470009999902686,1,323,48,,1
0,20348.6843361,20349.1161178,0.4317817000010109,1,323,43,,1
0,20361.8292353,20362.1935004,0.36426510000092094,0,323,56,,1
0,20365.4314662,20365.7411823,0.3097161000005144,1,323,51,,1
0,20390.3515551,20390.8209271,0.46937200000320445,1,323,48,,2
1,20392.7574454,20393.052643,0.2951976000003924,1,323,54,,2
3,20397.5714443,20397.8933359,0.3218916000005265,1,323,75,,2
2,20399.0552225,20399.3622469,0.3070244000009552,0,323,58,,2
1,20406.0374749,20406.3938847,0.35640979999880074,1,323,64,,2
0,20416.3453616,20416.8186868,0.473325200000545,1,323,40,,2
