minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,errors,invalid_json,cost_min_usd
0,7106,1168,8274,0.901886650000134,0.43064870000125666,22,0,0,0.0
1,3553,584,4137,0.4221761818189407,0.40950149999844143,11,0,0,0.0
2,2907,474,3381,0.4096926777767496,0.3738833999996132,9,0,0,0.0
3,3876,625,4501,0.48379463333336997,0.41024914999798057,12,0,0,0.0
4,6783,1120,7903,0.44163092381010455,0.4052455999990343,21,0,0,0.0
5,4199,641,4840,0.38456129230857744,0.3836527000021306,13,0,0,0.0
6,3230,522,3752,0.4363643200002116,0.417860550001933,10,0,0,0.0
7,6137,949,7086,0.37835355263163556,0.36988039999778266,19,0,0,0.0
8,4522,750,5272,0.46112126428566363,0.38770944999851054,14,0,0,0.0
9,3230,549,3779,0.3944403899997269,0.4039287499999773,10,0,0,0.0
10,3230,527,3757,0.5423980000003212,0.3911155999994662,10,0,0,0.0
11,4845,757,5602,0.4554847866667842,0.4136518999985128,15,0,0,0.0
12,5168,807,5975,0.41314997500035133,0.40608275000158756,16,0,0,0.0
13,5168,846,6014,0.3971951562500635,0.3967164000005141,16,0,0,0.0
14,4199,634,4833,0.4135296153852743,0.407506800002011,13,0,0,0.0
