npc_id,t_send,t_recv,latency_s,ok_json,tokens_in,tokens_out,error,minute
6,38563.685724,38564.4366158,0.7508917999948608,1,255,33,,0
5,38563.6844694,38564.6037899,0.9193204999974114,1,255,47,,0
8,38563.6903577,38565.07103,1.3806723000016063,1,255,43,,0
4,38563.6833317,38565.1022411,1.418909400003031,1,255,38,,0
2,38563.680783,38565.138584,1.4578009999968344,1,255,43,,0
13,38563.7013658,38565.179564,1.4781981999985874,1,255,37,,0
1,38563.6797227,38565.1948324,1.5151096999979927,1,255,31,,0
10,38563.6933426,38565.1977626,1.5044199999974808,1,255,36,,0
9,38563.6918262,38565.2054469,1.513620699995954,1,255,39,,0
12,38563.7000945,38565.2084291,1.5083345999955782,1,255,46,,0
3,38563.6816867,38565.2390121,1.557325399997353,1,255,38,,0
7,38563.688568,38565.2691942,1.5806262000041897,1,255,46,,0
0,38563.6779369,38565.2715333,1.593596400001843,1,255,36,,0
14,38563.7024418,38565.2740093,1.5715675000028568,1,255,41,,0
11,38563.6976428,38565.2880654,1.5904225999984192,1,255,40,,0
3,38565.7560573,38565.9530701,,0,137,0,429 Resource has been exhausted (e.g. check quota).,0
4,38566.6760974,38566.8754179,,0,137,0,429 Resource has been exhausted (e.g. check quota).,0
7,38566.9318735,38567.584142,,0,137,0,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15
Please retry in 16.247684649s. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash-lite""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 16
}
]",0
