minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,errors,invalid_json,cost_min_usd
0,7458,4026,11484,0.9903259272733439,0.9230577500002255,22,0,0,0.0
1,3729,2191,5920,0.896857345454588,0.7857500999998592,11,0,0,0.0
2,3051,1814,4865,0.8695806555551826,0.8399002999976801,9,0,0,0.0
3,4068,2306,6374,1.4438456166665976,1.3543723999991926,12,0,1,0.0
4,6102,3547,9649,1.1352896722219157,0.8418138500001078,18,0,1,0.0
5,5085,2922,8007,0.8303731199994218,0.7994843000014953,15,0,0,0.0
6,3051,1825,4876,1.3127055222224346,1.2272827999986475,9,0,0,0.0
7,6441,3934,10375,0.8333650421055178,0.7785973999998532,19,0,0,0.0
8,4068,2024,6092,0.9704379666663954,0.8200941999984934,12,0,0,0.0
9,4407,2480,6887,0.9180171923082805,0.7466476000008697,13,0,0,0.0
10,2712,1657,4369,1.1973537874987414,0.951001899999028,8,0,0,0.0
11,4746,2941,7687,0.8286202357147496,0.7991158000004361,14,0,0,0.0
12,5424,3165,8589,0.9336426000004394,0.7794273999988945,16,0,0,0.0
13,4746,2642,7388,1.3656340642854568,1.3138737499994022,14,0,0,0.0
14,6102,3433,9535,0.9601996888884767,0.8837126500002341,18,0,0,0.0
