minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,errors,invalid_json,cost_min_usd
0,7106,1190,8296,0.5023246499999501,0.4677020500002982,22,0,2,0.0
1,3553,546,4099,0.48965974545444624,0.47929199999998673,11,0,0,0.0
2,3230,632,3862,0.5106487400001243,0.505342699999801,10,0,2,0.0
3,3876,602,4478,0.46917679999978645,0.4626424000002771,12,0,0,0.0
4,6783,987,7770,0.46837924761911426,0.4603428000000349,21,0,0,0.0
5,3876,556,4432,0.49473134166676874,0.5085486500001934,12,0,0,0.0
6,3230,491,3721,0.5014573200000996,0.489737100000184,10,0,0,0.0
7,6137,956,7093,0.4762644368421733,0.46436350000021775,19,0,0,0.0
8,4522,695,5217,0.4888774285713485,0.4773323999997956,14,0,1,0.0
9,3553,766,4319,0.5238481818181423,0.503237199999603,11,0,0,0.0
10,2907,742,3649,0.5423667111111475,0.5401281999993444,9,0,0,0.0
11,4845,839,5684,0.491877113333309,0.4690024000001358,15,0,1,0.0
12,5168,758,5926,0.4872823562500912,0.46025985000005676,16,0,0,0.0
13,5168,829,5997,0.4734293124997748,0.4699338999998872,16,0,0,0.0
14,4199,718,4917,0.5063891615385588,0.48334559999966586,13,0,0,0.0
