minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,errors,invalid_json,cost_min_usd
0,7106,1182,8288,0.6471973545452453,0.5718091999988246,22,0,0,0.0
1,3553,567,4120,0.5722784909089982,0.5649935999990703,11,0,0,0.0
2,2907,492,3399,0.6603365777777476,0.5801070999987132,9,0,0,0.0
3,3876,668,4544,0.5503040749999855,0.542362399999547,12,0,0,0.0
4,6783,1089,7872,0.5449299904763999,0.527618000000075,21,0,0,0.0
5,4199,649,4848,0.5518995615384483,0.5470882999998139,13,0,0,0.0
6,2907,476,3383,0.5811890111108369,0.5781542000004265,9,0,0,0.0
7,6460,1048,7508,0.5509466299998167,0.5398202999995192,20,0,0,0.0
8,4522,702,5224,0.5403357642858931,0.5419130000009318,14,0,0,0.0
9,3230,540,3770,0.5770204500000545,0.568754899999476,10,0,0,0.0
10,3230,559,3789,0.6129330500003561,0.5998952500003725,10,0,0,0.0
11,4845,811,5656,0.5607114800001,0.5614370000002964,15,0,0,0.0
12,4199,641,4840,0.5590191769232871,0.5471689999994851,13,0,0,0.0
13,5814,1000,6814,0.6599231722221803,0.5871079999997164,18,0,0,0.0
14,4199,716,4915,0.5618876384617649,0.5678465999990294,13,0,0,0.0
