minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,errors,invalid_json,cost_min_usd
0,6336,742,7078,0.660499886363885,0.6365280999980314,22,0,0,0.0007078000000000001
1,3168,369,3537,0.5795979818183035,0.5862927999987733,11,0,0,0.0003537000000000001
2,2592,302,2894,0.57621711111157,0.5911393999995198,9,0,0,0.0002894
3,3456,408,3864,0.6036242666668841,0.6129973500010237,12,0,0,0.0003864
4,6048,708,6756,0.5847419000002403,0.5731392000016058,21,0,0,0.0006756
5,3744,442,4186,0.5935924153846617,0.5944831000015256,13,0,0,0.00041860000000000004
6,2592,306,2898,0.6023827888885636,0.5986344000011741,9,0,0,0.0002898
7,5472,650,6122,0.6258366473682001,0.6167521999996097,19,0,0,0.0006122
8,4032,470,4502,0.6184782571422797,0.5998851000003924,14,0,0,0.00045020000000000005
9,3168,369,3537,0.7858689090912363,0.5673890000034589,11,0,0,0.0003537000000000001
10,2880,340,3220,0.6352362099998572,0.5922340500001155,10,0,0,0.000322
11,4320,508,4828,0.5819006933333488,0.5771758999981103,15,0,0,0.0004828
12,3456,408,3864,0.5907889666671812,0.5979247499999474,12,0,0,0.0003864
13,5472,640,6112,0.5625601473682189,0.5454686999983096,19,0,0,0.0006112000000000001
14,3744,437,4181,0.6111392461529109,0.5298836999972991,13,0,0,0.0004181
