minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,errors,invalid_json,cost_min_usd
0,6336,899,7235,0.774470459091059,0.5861973999999464,22,0,0,0.0007235000000000001
1,3168,453,3621,0.5450424363635565,0.5429894999979297,11,0,0,0.0003621000000000001
2,2592,362,2954,0.5937860444448435,0.5389260000010836,9,0,0,0.0002954
3,3456,506,3962,0.5731510916666593,0.5492265499960922,12,0,0,0.0003962
4,5760,828,6588,0.5695499099994776,0.5732066500022484,20,0,0,0.0006588
5,4032,572,4604,0.5616842214304987,0.5619994499975292,14,0,0,0.0004604
6,2592,379,2971,0.5140242333315351,0.5056901999996626,9,0,0,0.0002971
7,5472,835,6307,0.5438485473683901,0.5340336000008392,19,0,0,0.0006307000000000001
8,4032,595,4627,0.5665922785701696,0.5533619999987422,14,0,0,0.0004627
9,3168,459,3627,0.5114478545451262,0.47322410000197124,11,0,0,0.0003627000000000001
10,2880,397,3277,0.5172007500004838,0.4941964999998163,10,0,0,0.0003277
11,4320,636,4956,0.536004800000713,0.5244969999985187,15,0,0,0.0004956
12,3744,554,4298,0.5596096999999225,0.5829526999950758,13,0,0,0.00042980000000000004
13,5184,749,5933,0.552338322221557,0.5199752999978955,18,0,0,0.0005933000000000001
14,3744,538,4282,0.5475166538453777,0.5080620000007912,13,0,0,0.00042820000000000005
