npc_id,t_send,t_recv,latency_s,ok_json,tokens_in,tokens_out,error,minute
1,34987.986059,34988.5858562,0.5997971999968286,1,288,36,,0
0,34987.9479195,34988.7197169,0.7717973999970127,1,288,40,,0
4,34987.9907618,34988.753433,0.7626711999982945,1,288,40,,0
2,34987.9875182,34988.7535156,0.7659973999980139,1,288,36,,0
3,34987.9898737,34988.7696068,0.7797331000037957,1,288,45,,0
3,34989.3060204,34989.8022989,0.49627850000251783,1,288,38,,0
4,34990.3012946,34990.861866,0.5605713999975706,1,288,40,,0
2,34991.980312,34992.6463001,0.6659881000014138,1,288,55,,0
3,34994.5727012,34995.2853486,0.712647400003334,1,288,44,,0
2,35002.7467493,35003.328318,0.5815686999994796,1,288,40,,0
1,35003.8531745,35004.2927204,0.43954590000066673,1,288,41,,0
4,35003.0398146,35007.1488263,4.1090116999985185,1,288,46,,0
4,35007.6596791,35008.2146336,0.5549545000030776,1,288,40,,0
2,35008.8247598,35009.7932937,0.9685338999988744,1,288,40,,0
4,35010.3728212,35010.9209377,0.5481165000019246,1,288,40,,0
2,35014.9801398,35015.5883382,0.6081984000047669,1,288,40,,0
4,35024.0643892,35024.6532323,0.5888430999984848,1,288,44,,0
2,35029.4665812,35029.9281655,0.461584299999231,1,288,37,,0
1,35031.2459077,35031.7030012,0.45709350000106497,1,288,40,,0
0,35036.5639332,35037.1474849,0.5835517000014079,1,288,40,,0
2,35038.6748341,35039.1740599,0.4992257999983849,1,288,40,,0
4,35045.1574252,35045.6800656,0.522640399998636,1,288,37,,0
0,35048.2156654,35048.6919469,0.4762814999994589,1,288,40,,1
2,35048.7507921,35049.3852478,0.6344556999974884,1,288,40,,1
4,35053.3848189,35053.828662,0.44384310000168625,1,288,37,,1
4,35059.0230467,35059.6825488,0.6595021000030101,1,288,47,,1
4,35061.0225863,35061.600654,0.578067700000247,1,288,49,,1
1,35062.9790468,35063.5220363,0.5429894999979297,1,288,40,,1
4,35068.0061952,35068.5819748,0.5757795999961672,1,288,40,,1
4,35068.8999162,35069.4050388,0.5051226000068709,1,288,44,,1
0,35085.5721137,35086.1944897,0.622375999999349,1,288,40,,1
0,35098.896058,35099.3947468,0.49868879999849014,1,288,40,,1
0,35102.6319247,35103.0902849,0.4583601999984239,1,288,36,,1
0,35127.7101532,35128.1918993,0.4817460999984178,1,288,38,,2
1,35130.9990244,35131.5226094,0.5235850000026403,1,288,40,,2
3,35134.7888549,35135.2329328,0.4440778999996837,1,288,35,,2
2,35138.6933581,35139.146454,0.45309590000397293,1,288,45,,2
1,35144.5014731,35145.1822122,0.6807391000038479,1,288,44,,2
0,35153.6992541,35154.711265,1.0120108999981312,1,288,40,,2
1,35159.7171903,35160.2561163,0.5389260000010836,1,288,40,,2
3,35160.0408441,35160.6547637,0.6139195999930962,1,288,40,,2
3,35162.7602363,35163.3562102,0.5959739000027184,1,288,40,,2
2,35168.8402731,35169.3827475,0.5424743999974453,1,288,45,,3
1,35175.5908052,35176.0890524,0.4982471999974223,1,288,40,,3
2,35184.5200664,35185.294771,0.7747046000004048,1,288,45,,3
0,35185.4329425,35185.9814917,0.5485491999934311,1,288,40,,3
4,35186.2687764,35186.8271811,0.5584047000011196,1,288,40,,3
0,35190.7798992,35191.3298031,0.5499038999987533,1,288,44,,3
0,35193.4181433,35193.9632799,0.5451366000052076,1,288,40,,3
2,35212.1257881,35212.6540313,0.52824320000218,1,288,46,,3
3,35213.0928629,35213.5244391,0.4315762000042014,1,288,40,,3
1,35214.3291228,35214.9628662,0.6337434000015492,1,288,45,,3
3,35222.0659019,35222.7610848,0.6951828999954159,1,288,41,,3
4,35222.52794,35223.0995868,0.5716468000027817,1,288,40,,3
2,35228.1369736,35228.6187194,0.4817458000034094,1,288,40,,4
0,35229.2130497,35229.8227279,0.6096781999949599,1,288,40,,4
2,35236.2769108,35236.8475591,0.5706483000030858,1,288,40,,4
0,35241.5780041,35242.1903007,0.6122965999966254,1,288,45,,4
3,35242.1715316,35242.6695635,0.4980319000023883,1,288,40,,4
2,35243.4963907,35243.9647918,0.4684010999990278,1,288,45,,4
1,35248.2220632,35248.7429513,0.5208880999998655,1,288,40,,4
2,35251.6610934,35252.2318124,0.5707190000030096,1,288,40,,4
4,35254.7877975,35255.3317349,0.543937399997958,1,288,45,,4
0,35260.9856023,35261.5717473,0.5861449999938486,1,288,40,,4
2,35265.5086634,35266.1168465,0.6081830999974045,1,288,40,,4
1,35266.3121228,35266.7892847,0.47716189999482594,1,288,40,,4
1,35267.1553197,35267.7183989,0.5630791999938083,1,288,40,,4
1,35268.5684153,35269.1498378,0.5814225000067381,1,288,38,,4
3,35269.9430762,35270.5962051,0.6531289000049583,1,288,40,,4
2,35276.2771349,35276.9338221,0.6566871999966679,1,288,48,,4
1,35280.8928544,35281.4685487,0.5756943000014871,1,288,40,,4
4,35282.2278045,35282.6744074,0.44660290000319947,1,288,40,,4
3,35282.6620426,35283.3400251,0.6779824999975972,1,288,40,,4
0,35283.0276939,35283.7162582,0.6885642999986885,1,288,47,,4
3,35288.6589327,35289.2049702,0.5460375000038766,1,288,36,,5
4,35289.5386817,35290.0930335,0.5543517999976757,1,288,40,,5
2,35294.4690964,35294.9958763,0.5267799000066589,1,288,36,,5
3,35310.0917304,35310.649588,0.5578575999970781,1,288,40,,5
4,35310.735989,35311.3257041,0.5897151000026497,1,288,40,,5
1,35311.0899243,35311.6560656,0.5661412999979802,1,288,46,,5
0,35312.4235732,35312.9094211,0.48584789999586064,1,288,40,,5
1,35315.4343073,35315.9895272,0.5552199000012479,1,288,40,,5
4,35315.7907793,35316.3832836,0.5925043000024743,1,288,40,,5
2,35319.4779834,35319.9315293,0.4535459000035189,1,288,38,,5
2,35325.409833,35326.0419886,0.6321556000038981,1,288,46,,5
4,35329.5114743,35330.1119085,0.6004342000014731,1,288,46,,5
1,35339.9051182,35340.5183803,0.6132621000069776,1,288,40,,5
3,35346.6974907,35347.2872167,0.5897260000056121,1,288,44,,5
0,35352.1593997,35352.7244142,0.5650144999963231,1,288,38,,6
2,35355.8851701,35356.3703212,0.48515109999425476,1,288,45,,6
1,35367.619181,35368.1285819,0.5094008999949438,1,288,40,,6
2,35371.788051,35372.2907989,0.5027478999982122,1,288,40,,6
3,35376.6082935,35377.0931848,0.48489129999506986,1,288,44,,6
0,35384.3740586,35384.8991186,0.5250599999999395,1,288,46,,6
4,35392.4745896,35392.9611902,0.48660060000111116,1,288,45,,6
1,35399.1082153,35399.6139055,0.5056901999996626,1,288,40,,6
