minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,errors,invalid_json,cost_min_usd
0,8008,1400,9408,1.4477617636369937,1.3455358499995782,22,0,0,0.0009407999999999999
1,3640,580,4220,1.2999322999996366,1.2735883999994257,10,0,0,0.000422
2,2912,491,3403,2.5792837250000957,1.7591644499989343,8,0,0,0.00034030000000000003
3,4004,736,4740,1.9184947272733552,1.4588507000007667,11,0,0,0.000474
4,6188,1037,7225,1.5249682705890497,1.445510600002308,17,0,0,0.0007224999999999999
5,6188,1025,7213,1.319708988236551,1.3288697000025422,17,0,0,0.0007213
6,3640,608,4248,1.5011160099995322,1.3500664499988488,10,0,0,0.0004248
7,6188,1037,7225,1.3483836941171938,1.3180567000017618,17,0,0,0.0007224999999999999
8,4732,768,5500,1.3477777000012934,1.3285468999965815,13,0,0,0.00055
9,4004,688,4692,1.3506534727269106,1.3011553999967873,11,0,0,0.00046919999999999997
10,3640,600,4240,1.3365837599994848,1.261434799998824,10,0,0,0.000424
11,5096,874,5970,1.656747085715324,1.2927945000010368,14,0,0,0.0005970000000000001
12,4368,705,5073,1.2506798333336822,1.2256068999995477,12,0,0,0.0005073
13,5824,947,6771,1.6612527000002046,1.2529313500017452,16,0,0,0.0006771
14,6188,1048,7236,1.3406545411755146,1.3102731999970274,17,0,0,0.0007236
15,364,81,445,1.5153301000027568,1.5153301000027568,1,0,0,4.4500000000000004e-05
