npc_id,t_send,t_recv,latency_s,ok_json,tokens_in,tokens_out,error,minute
1,49296.5860527,49297.9109631,1.324910400006047,1,364,58,,0
4,49296.5954464,49298.0842996,1.4888531999968109,1,364,72,,0
3,49296.5948639,49298.1182445,1.5233806000032928,1,364,63,,0
2,49296.5907941,49298.180029,1.5892349000059767,1,364,69,,0
0,49296.5636201,49298.9998031,2.436182999997982,1,364,62,,0
3,49298.6527853,49299.8205152,1.1677299000002677,1,364,57,,0
4,49299.6483488,49301.2355056,1.5871568000002299,1,364,84,,0
2,49301.4127578,49302.5487893,1.136031500005629,1,364,47,,0
3,49304.6049464,49305.9567941,1.3518476999961422,1,364,69,,0
2,49312.6319465,49314.3018304,1.669883900001878,1,364,78,,0
1,49313.1527805,49314.703052,1.5502714999965974,1,364,72,,0
4,49313.4116834,49315.2523588,1.8406753999952343,1,364,76,,0
4,49315.7552627,49316.9949972,1.239734500006307,1,364,52,,0
4,49319.1526055,49320.4918295,1.3392240000030142,1,364,55,,0
2,49319.81253,49321.4430934,1.6305633999945712,1,364,76,,0
2,49326.6288394,49327.9462757,1.3174362999998266,1,364,58,,0
4,49333.6401764,49334.8816818,1.2415054000011878,1,364,55,,0
1,49341.6487979,49343.0707568,1.4219588999985717,1,364,63,,0
2,49341.818296,49343.0994346,1.2811386000030325,1,364,58,,0
0,49346.8409112,49348.1350458,1.2941346000006888,1,364,65,,0
2,49351.8597567,49353.1269383,1.2671816000001854,1,364,58,,0
4,49355.391663,49356.5433857,1.1517227000003913,1,364,53,,0
0,49359.2001191,49360.4381018,1.2379826999967918,1,364,52,,1
2,49362.7046257,49363.9810006,1.2763749000005191,1,364,60,,1
4,49364.2530047,49365.2981903,1.045185600007244,1,364,49,,1
4,49370.485819,49371.9597599,1.473940899995796,1,364,68,,1
4,49373.2962031,49374.5754662,1.279263100004755,1,364,56,,1
1,49374.3703925,49376.1832582,1.8128656999979285,1,364,83,,1
4,49380.9878434,49382.1325178,1.144674399998621,1,364,55,,1
4,49382.4414769,49383.5871787,1.1457018000000971,1,364,49,,1
0,49397.3260126,49398.6385446,1.3125319999962812,1,364,56,,1
0,49411.3468134,49412.6176153,1.2708018999983324,1,364,52,,1
0,49415.8531386,49417.2589001,1.4057614999983343,1,364,70,,2
0,49441.8772207,49443.3038684,1.4266476999982842,1,364,70,,2
3,49445.4540754,49447.0887238,1.6346484000023338,1,364,61,,2
1,49443.635028,49448.4714938,4.836465800006408,1,364,53,,2
2,49453.2849159,49455.1685964,1.8836804999955348,1,364,68,,2
1,49461.4375644,49466.1338667,4.6963022999989334,1,364,58,,2
0,49468.82745,49469.8536608,1.0262108000024455,1,364,49,,2
3,49471.8937544,49475.6183072,3.7245527999984915,1,364,62,,2
3,49477.7260663,49479.358189,1.6321227000007639,1,364,82,,3
1,49480.6751983,49482.0424875,1.3672892000031425,1,364,64,,3
2,49484.8453686,49486.3042193,1.4588507000007667,1,364,73,,3
1,49497.3632434,49498.6829715,1.3197280999957002,1,364,62,,3
0,49500.571266,49501.6868212,1.115555199998198,1,364,43,,3
4,49500.4502054,49501.8714036,1.4211982000051648,1,364,73,,3
2,49501.4395602,49507.0933208,5.65376059999835,1,364,68,,3
0,49506.4893381,49508.6063154,2.116977300000144,1,364,76,,3
0,49510.6928317,49511.817019,1.1241873000035412,1,364,46,,3
3,49529.1029221,49530.8379572,1.7350350999986404,1,364,82,,3
2,49533.9277129,49536.0864505,2.158737600002496,1,364,67,,3
1,49536.9130707,49538.0452347,1.1321640000023763,1,364,52,,4
4,49537.556969,49539.2328958,1.675926800002344,1,364,76,,4
3,49539.3840662,49540.5253989,1.1413326999972924,1,364,56,,4
0,49547.0561013,49548.8195661,1.7634648000021116,1,364,89,,4
2,49551.5772133,49553.1750353,1.5978220000033616,1,364,52,,4
3,49559.9502428,49561.5511579,1.6009151000034763,1,364,52,,4
0,49560.5603495,49561.8700471,1.3096975999942515,1,364,53,,4
2,49560.833647,49562.3978817,1.5642347000029986,1,364,64,,4
2,49569.0577,49570.3276741,1.26997410000331,1,364,58,,4
4,49570.9160606,49572.0153252,1.0992646000013337,1,364,52,,4
1,49571.2958591,49573.8624883,2.566629200002353,1,364,55,,4
2,49578.0288284,49579.474339,1.445510600002308,1,364,72,,4
0,49580.6534146,49581.9333807,1.279966100002639,1,364,58,,4
3,49588.8258392,49591.3722285,2.546389299997827,1,364,80,,4
1,49591.4327179,49592.6215645,1.1888465999945765,1,364,55,,4
2,49592.7576375,49594.0291643,1.2715268000029027,1,364,55,,4
1,49592.9830232,49594.4538188,1.4707955999983824,1,364,58,,4
1,49595.2976295,49596.6373653,1.3397358000001987,1,364,59,,5
4,49598.9176826,49600.0014953,1.0838127000024542,1,364,52,,5
0,49603.3881212,49604.6728377,1.284716500005743,1,364,63,,5
3,49603.4486711,49604.7548936,1.3062225000030594,1,364,53,,5
2,49604.1805891,49605.9749822,1.7943931000045268,1,364,96,,5
4,49606.8488362,49607.9357759,1.0869396999987657,1,364,52,,5
1,49608.3875356,49609.8869114,1.4993757999982336,1,364,69,,5
3,49610.0738905,49611.5684953,1.494604799998342,1,364,76,,5
2,49623.5108664,49624.7113112,1.200444800000696,1,364,49,,5
4,49628.5891601,49630.0040066,1.4148465000034776,1,364,58,,5
3,49632.4726564,49633.8222908,1.3496344000013778,1,364,50,,5
0,49633.3878421,49634.5356604,1.1478182999999262,1,364,53,,5
4,49634.4591955,49635.7880652,1.3288697000025422,1,364,58,,5
1,49639.5081931,49640.5482499,1.0400567999968189,1,364,49,,5
1,49644.3347916,49645.5137141,1.1789225000029546,1,364,55,,5
4,49648.9274258,49650.3315518,1.4041260000012699,1,364,65,,5
2,49649.200328,49650.6808609,1.4805329000009806,1,364,68,,5
2,49656.1550574,49659.3883205,3.2332631000026595,1,364,74,,6
1,49669.4124219,49670.8531611,1.4407391999993706,1,364,61,,6
3,49669.8475368,49671.5158972,1.6683603999990737,1,364,78,,6
0,49673.8105322,49674.8725584,1.062026200001128,1,364,49,,6
2,49689.2394475,49690.5963136,1.3568661000026623,1,364,55,,6
1,49697.9698108,49699.3290554,1.3592445999966003,1,364,66,,6
3,49700.8360714,49701.9523072,1.1162358000001404,1,364,52,,6
2,49705.9989377,49707.1926767,1.193738999994821,1,364,58,,6
0,49706.5157059,49707.7531248,1.2374189000038314,1,364,56,,6
4,49712.7130238,49714.0562906,1.3432667999950354,1,364,59,,6
4,49724.5892221,49726.0841756,1.4949534999977914,1,364,69,,7
1,49730.3174154,49732.1890061,1.8715907000005245,1,364,56,,7
0,49736.132668,49737.4507247,1.3180567000017618,1,364,58,,7
2,49742.7377296,49744.0989273,1.361197700003686,1,364,58,,7
1,49743.7400226,49744.9754891,1.2354664999948,1,364,52,,7
1,49745.1376241,49746.6240132,1.4863890999986324,1,364,74,,7
