minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,errors,invalid_json,cost_min_usd
0,6090,1608,7698,1.603148871428164,1.4099038999993354,21,3,0,0.0007698000000000001
1,3190,865,4055,1.5677922727270264,1.437997400003951,11,0,0,0.0004055
2,2320,657,2977,1.8348784875033743,1.6190124000022479,8,0,0,0.0002977
3,3480,940,4420,1.6059545833328837,1.3689916000002995,12,0,0,0.000442
4,4930,1380,6310,1.7334009235299377,1.408040100002836,17,1,0,0.0006309999999999999
5,4640,1330,5970,1.7658930687498469,1.4991332999998122,16,0,0,0.000597
6,2320,632,2952,1.4836694249988795,1.4870748499997717,8,0,0,0.0002952
7,5220,1470,6690,1.470595588888601,1.4619149999998626,18,2,0,0.000669
8,3480,974,4454,1.8045979666670366,1.5477611500027706,12,0,0,0.0004454
9,3480,965,4445,1.4798332666669012,1.4402346500028216,12,0,0,0.0004445
10,3190,901,4091,1.6590976363639294,1.513392599998042,11,0,0,0.0004091
11,3190,887,4077,1.5946063000010327,1.5005528000037884,11,4,0,0.0004077
12,3480,952,4432,1.5201012166665653,1.4182302500012156,12,1,0,0.0004432
13,4060,1103,5163,3.293991485715066,1.448324050001247,14,0,0,0.0005163
14,4060,1132,5192,2.4579427571422587,1.6401928999985103,14,0,0,0.0005192
