npc_id,t_send,t_recv,latency_s,ok_json,tokens_in,tokens_out,error,minute
1,40932.6568362,40934.0667401,1.4099038999993354,1,290,70,,0
0,40932.636907,40934.1434204,1.506513400003314,1,290,73,,0
4,40932.659296,40934.186803,1.5275069999988773,1,290,79,,0
2,40932.6572073,40934.6846493,2.0274419999987003,1,290,84,,0
3,40932.6586493,40934.9313503,2.272701000001689,1,290,73,,0
4,40935.7496728,40936.9025228,1.1528500000058557,1,290,70,,0
2,40937.9086659,40939.2457489,1.337082999998529,1,290,85,,0
3,40935.4699021,40939.4377251,3.9678229999990435,1,290,84,,0
3,40944.2203476,40944.6203267,,0,157,0,"API error occurred: Status 429
{""object"":""error"",""message"":""Service tier capacity exceeded for this model."",""type"":""service_tier_capacity_exceeded"",""param"":null,""code"":""3505""}",0
3,40947.3483531,40948.6781612,1.3298080999957165,1,290,72,,0
4,40949.0831994,40950.2835382,1.200338800001191,1,290,70,,0
2,40949.3222584,40950.5941894,1.271930999995675,1,290,68,,0
1,40949.3026179,40950.8123281,1.5097101999999722,1,290,84,,0
4,40950.7870382,40952.1558513,1.3688131000017165,1,290,70,,0
4,40954.3184023,40955.6126668,1.2942645000002813,1,290,80,,0
2,40956.0984705,40956.3992706,,0,157,0,"API error occurred: Status 429
{""object"":""error"",""message"":""Service tier capacity exceeded for this model."",""type"":""service_tier_capacity_exceeded"",""param"":null,""code"":""3505""}",0
2,40957.8984951,40959.4978463,1.5993511999986367,1,290,70,,0
2,40964.6772732,40966.0137739,1.3365006999956677,1,290,70,,0
4,40968.7546059,40970.0647071,1.310101199997007,1,290,79,,0
1,40977.770757,40979.3156673,1.5449102999991737,1,290,84,,0
2,40979.8889979,40981.5726285,1.6836305999968317,1,290,84,,0
0,40981.9773399,40983.624213,1.6468731000059051,1,290,80,,0
4,40990.5507759,40990.8790444,,0,157,0,"API error occurred: Status 429
{""object"":""error"",""message"":""Service tier capacity exceeded for this model."",""type"":""service_tier_capacity_exceeded"",""param"":null,""code"":""3505""}",0
2,40990.32181,40991.6898802,1.3680701999983285,1,290,79,,0
4,40993.0724322,40994.3959649,1.3235327000002144,1,290,80,,1
0,40994.6890117,40996.0025069,1.313495199996396,1,290,80,,1
2,41001.2627991,41003.0111363,1.7483372000060626,1,290,84,,1
4,41002.1123572,41003.4271971,1.3148398999983328,1,290,79,,1
4,41008.6235943,41009.9432589,1.319664599999669,1,290,68,,1
1,41010.5945711,41012.1966079,1.6020367999954033,1,290,79,,1
4,41011.29814,41012.6506909,1.352550900002825,1,290,67,,1
4,41019.0680287,41020.590996,1.5229672999994364,1,290,80,,1
4,41020.8971803,41023.5724929,2.675312599996687,1,290,80,,1
0,41032.8914772,41034.5264576,1.6349803999983124,1,290,84,,1
0,41047.2383221,41048.6763195,1.437997400003951,1,290,84,,1
0,41051.9182196,41055.2251659,3.30694630000653,1,290,83,,2
1,41079.6547962,41081.0184621,1.36366590000398,1,290,79,,2
0,41079.8529228,41081.9846872,2.131764400000975,1,290,80,,2
3,41088.1940824,41089.8374959,1.6434135000017704,1,290,84,,2
2,41092.3135413,41093.8503704,1.5368291000049794,1,290,85,,2
1,41093.9787883,41095.6281413,1.6493530000007013,1,290,84,,2
0,41107.5035409,41109.0981522,1.5946113000027253,1,290,80,,2
1,41110.1562048,41111.6086492,1.4524444000053336,1,290,82,,2
3,41114.6448985,41115.9584955,1.3135970000002999,1,290,80,,3
3,41118.058462,41119.4220139,1.3635519000017666,1,290,84,,3
2,41123.5362228,41124.8812306,1.3450078000023495,1,290,73,,3
1,41126.9352134,41130.1041116,3.168898199997784,1,290,80,,3
2,41140.0294982,41141.3402963,1.3107980999993742,1,290,79,,3
4,41140.4413901,41141.8848801,1.443489999997837,1,290,79,,3
0,41139.7998566,41141.9639203,2.1640636999945855,1,290,70,,3
0,41146.7563572,41148.0690361,1.3126789000016288,1,290,79,,3
0,41150.1619926,41151.5995825,1.437589900000603,1,290,83,,3
1,41168.3438332,41169.5822543,1.238421100002597,1,290,70,,3
2,41168.1748457,41169.9737728,1.798927099996945,1,290,84,,3
3,41169.1568853,41170.5313166,1.3744312999988324,1,290,79,,3
4,41177.5875685,41178.9233602,1.3357917000030284,1,290,79,,4
3,41179.082995,41180.6306169,1.5476219000047422,1,290,83,,4
2,41185.4499115,41186.7872184,1.33730690000084,1,290,80,,4
0,41186.8456593,41188.3557197,1.5100603999962914,1,290,84,,4
2,41194.4504679,41195.7742719,1.3238039999996545,1,290,72,,4
3,41200.0387934,41201.3919266,1.3531331999984104,1,290,84,,4
0,41200.0850698,41201.6262379,1.5411681000041426,1,290,80,,4
2,41202.4509563,41203.8329242,1.3819679000007454,1,290,84,,4
1,41202.8307162,41204.2387563,1.408040100002836,1,290,83,,4
4,41210.6075265,41212.1120817,1.5045551999937743,1,290,80,,4
2,41211.5427349,41212.9164225,1.3736875999966287,1,290,79,,4
0,41220.4152391,41221.2903735,,0,157,0,"API error occurred: Status 429
{""object"":""error"",""message"":""Service tier capacity exceeded for this model."",""type"":""service_tier_capacity_exceeded"",""param"":null,""code"":""3505""}",4
1,41221.798096,41223.2259844,1.4278884000013932,1,290,89,,4
1,41223.5963916,41224.9429995,1.3466079000063473,1,290,75,,4
1,41225.7986974,41227.294593,1.4958955999973114,1,290,84,,4
0,41223.1665859,41228.7369183,5.570332399998733,1,290,85,,4
2,41226.1998035,41228.8071784,2.607374899998831,1,290,80,,4
3,41228.6725694,41230.0751489,1.4025795000052312,1,290,79,,4
4,41239.0154851,41240.5115979,1.496112799999537,1,290,84,,5
1,41239.0465165,41240.5390493,1.4925328000026639,1,290,82,,5
2,41238.9545966,41240.5962186,1.641622000002826,1,290,84,,5
3,41242.1607041,41243.3928033,1.232099199994991,1,290,72,,5
4,41247.3709224,41248.894241,1.5233186000041314,1,290,79,,5
3,41248.7080603,41250.2102141,1.5021538000000874,1,290,84,,5
0,41250.1864516,41252.0896653,1.903213700003107,1,290,84,,5
2,41258.1247704,41259.5057825,1.3810120999987703,1,290,79,,5
1,41270.1692352,41271.6306676,1.4614323999994667,1,290,79,,5
3,41271.1203197,41272.5640706,1.443750899998122,1,290,79,,5
4,41269.539328,41274.9476468,5.408318800000416,1,290,89,,5
1,41275.4245949,41277.2169962,1.7924012999937986,1,290,104,,5
4,41279.4156682,41280.8426672,1.4269989999957033,1,290,78,,5
0,41280.8020811,41282.3784547,1.5763736000008066,1,290,89,,5
2,41284.0067203,41285.3605858,1.3538655000011204,1,290,80,,5
2,41290.8399804,41292.459063,1.6190826000020024,1,290,84,,5
4,41293.9569042,41295.4836155,1.5267113000008976,1,290,70,,6
1,41301.1194009,41302.5568436,1.437442700000247,1,290,84,,6
3,41308.5956202,41310.0521808,1.4565605999960098,1,290,80,,6
0,41321.6257712,41323.1262817,1.5005105000018375,1,290,70,,6
2,41322.313731,41323.903848,1.5901169999997364,1,290,84,,6
1,41329.6576729,41331.1313121,1.4736391999977059,1,290,79,,6
2,41339.2967479,41340.6265777,1.32982980000088,1,290,79,,6
3,41339.3876728,41340.9422171,1.5545442999937222,1,290,86,,6
0,41354.7516292,41356.1802693,1.4286400999990292,1,290,84,,7
4,41357.8635081,41358.1491064,,0,157,0,"API error occurred: Status 429
{""object"":""error"",""message"":""Service tier capacity exceeded for this model."",""type"":""service_tier_capacity_exceeded"",""param"":null,""code"":""3505""}",7
4,41360.5153508,41362.0133006,1.4979498000029707,1,290,84,,7
1,41362.1425999,41363.8530551,1.7104552000018884,1,290,80,,7
4,41372.5371555,41374.5285082,1.991352699995332,1,290,89,,7
1,41375.409457,41376.582334,1.1728769999972428,1,290,72,,7
