minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,errors,invalid_json,cost_min_usd
0,6380,964,7344,0.6365009999998702,0.6321067999961087,22,0,0,0.0007344
1,3190,451,3641,0.6525343090900357,0.612021699998877,11,0,0,0.0003641
2,2610,381,2991,0.6422178999984882,0.6372682000001078,9,0,0,0.0002991
3,3480,501,3981,0.6424833333330753,0.6637925499999255,12,0,0,0.00039810000000000003
4,6090,866,6956,0.6089184761894146,0.5767517999993288,21,0,0,0.0006956000000000001
5,3770,544,4314,0.5830878153848551,0.5649809000024106,13,0,0,0.0004314
6,2610,375,2985,0.5713778888885928,0.5544967999958317,9,0,0,0.0002985
7,5510,787,6297,0.5822372105272065,0.5582998000027146,19,0,0,0.0006297000000000001
8,4350,624,4974,0.5631272200009941,0.5629391000038595,15,0,0,0.0004974000000000001
9,2900,410,3310,0.6104967500010389,0.5609766500019759,10,0,0,0.000331
10,2900,418,3318,0.5656865600001766,0.5487831999998889,10,0,0,0.0003318
11,4350,634,4984,0.5523847133338374,0.5482981999957701,15,0,0,0.0004984
12,3480,496,3976,0.9291857750001024,0.5653794499994547,12,0,0,0.0003976
13,5510,793,6303,0.6396499894743963,0.6155713999978616,19,0,0,0.0006303000000000001
14,3770,543,4313,0.7825487153845293,0.5687155999985407,13,0,0,0.0004313
