npc_id,t_send,t_recv,latency_s,ok_json,tokens_in,tokens_out,error,minute
2,46907.5755556,46908.171459,0.5959033999970416,1,290,41,,0
0,46907.5506914,46908.2419636,0.6912721999979112,1,290,47,,0
1,46907.570351,46908.2441925,0.6738414999999804,1,290,42,,0
3,46907.5790402,46908.2701242,0.6910839999982272,1,290,47,,0
4,46907.5830973,46908.3670763,0.7839789999998175,1,290,47,,0
3,46908.7912306,46909.3590791,0.567848500002583,1,290,43,,0
4,46909.9292982,46910.5046195,0.5753213000061805,1,290,42,,0
2,46911.405535,46911.9932123,0.5876773000054527,1,290,38,,0
3,46914.1237229,46914.7503484,0.6266254999936791,1,290,40,,0
2,46922.0835347,46922.7211228,0.6375880999985384,1,290,47,,0
4,46922.671042,46923.3153233,0.6442812999957823,1,290,40,,0
1,46923.5114235,46924.0777165,0.5662930000034976,1,290,47,,0
4,46923.8192935,46924.5936187,0.7743252000000211,1,290,40,,0
4,46926.7536735,46927.3959142,0.6422406999990926,1,290,42,,0
2,46928.2052491,46928.8481185,0.6428693999987445,1,290,42,,0
2,46934.0339882,46934.7050095,0.6710213000042131,1,290,44,,0
4,46940.5641221,46941.1497789,0.5856568000017432,1,290,42,,0
2,46948.5736783,46949.1672567,0.5935783999957494,1,290,48,,0
1,46951.0298313,46951.6477668,0.6179354999985662,1,290,40,,0
0,46956.0862419,46956.7599831,0.6737412000002223,1,290,65,,0
2,46957.9124755,46958.5139929,0.6015173999985564,1,290,40,,0
4,46961.6489197,46962.2073407,0.5584210000015446,1,290,40,,0
0,46967.8439853,46968.456007,0.612021699998877,1,290,47,,1
2,46968.0894122,46968.6371994,0.5477871999974013,1,290,40,,1
4,46969.8971268,46970.5391929,0.6420661000011023,1,290,41,,1
4,46975.7349612,46976.3082341,0.5732728999937535,1,290,41,,1
4,46977.6490628,46978.3528078,0.7037449999988894,1,290,41,,1
1,46982.94348,46983.6560525,0.7125725000005332,1,290,40,,1
4,46984.7667131,46985.3510109,0.5842978000000585,1,290,40,,1
4,46985.6587323,46986.2217349,0.5630025999998907,1,290,41,,1
0,47005.353685,47005.9838803,0.6301953000001959,1,290,40,,1
0,47018.6972638,47019.7836968,1.0864329999967595,1,290,40,,1
0,47023.0174166,47023.5398999,0.5224833000029321,1,290,40,,1
0,47048.151423,47048.9080487,0.7566256999998586,1,290,40,,2
1,47051.1177781,47051.7118296,0.5940514999965671,1,290,47,,2
3,47054.250922,47054.9103075,0.659385500002827,1,290,43,,2
2,47057.9485962,47058.5666511,0.618054899998242,1,290,40,,2
1,47064.6995955,47065.3368637,0.6372682000001078,1,290,40,,2
0,47074.4180885,47074.9621877,0.5440992000003462,1,290,40,,2
3,47079.7120011,47080.3624086,0.6504074999975273,1,290,43,,2
