minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,errors,cost_min_usd
0,4674,734,5408,2.068402804826435,1.8240461349487305,19,0,0.00041045
1,2952,464,3416,1.5484469135602315,1.4546364545822144,12,0,0.0002594
2,2706,413,3119,1.434200568632646,1.3778882026672363,11,0,0.00023285
3,2214,343,2557,1.4773780239952936,1.3996875286102295,9,0,0.00019255
4,3198,524,3722,1.6151062158437877,1.4696154594421387,13,0,0.00028955
5,1722,267,1989,1.635270289012364,1.5620553493499756,7,0,0.00014984999999999998
6,2706,448,3154,1.5463087125258013,1.5385172367095947,11,0,0.00024685
7,2214,368,2582,1.49258557955424,1.4332382678985596,9,0,0.00020255
8,4428,689,5117,1.4072376887003581,1.3507777452468872,18,0,0.0003863
9,3936,621,4557,1.4647236764431,1.489593505859375,16,0,0.0003468
10,4674,740,5414,1.4289217622656571,1.372257947921753,19,0,0.00041285000000000003
11,2952,480,3432,1.5067262053489685,1.4214320182800293,12,0,0.0002658
12,2706,398,3104,1.6480611020868474,1.4329957962036133,11,0,0.00022685
13,2952,457,3409,1.3896097739537556,1.3234361410140991,12,0,0.0002566
14,2214,332,2546,1.9157839351230197,1.4579687118530273,9,0,0.00018815
