npc_id,t_send,t_recv,latency_s,ok_json,tokens_in,tokens_out,error,minute
3,1759798442.9475431,1759798445.6875796,2.7400364875793457,1,246,38,,0
5,1759798442.948543,1759798445.6875796,2.7390365600585938,1,246,40,,0
4,1759798442.9475431,1759798445.931641,2.984097957611084,1,246,34,,0
2,1759798442.9465437,1759798446.0946424,3.1480987071990967,1,246,35,,0
1,1759798442.941542,1759798446.1236694,3.1821274757385254,1,246,39,,0
2,1759798451.1564972,1759798452.9805434,1.8240461349487305,1,246,36,,0
3,1759798459.0901732,1759798461.0755615,1.9853882789611816,1,246,41,,0
4,1759798459.058149,1759798461.5935285,2.535379409790039,1,246,45,,0
1,1759798463.2430463,1759798464.6230876,1.3800413608551025,1,246,44,,0
4,1759798463.9119947,1759798465.6468334,1.7348387241363525,1,246,38,,0
4,1759798470.9996252,1759798473.2549593,2.2553341388702393,1,246,39,,0
2,1759798474.26559,1759798476.0474067,1.7818167209625244,1,246,31,,0
5,1759798475.0295906,1759798476.3921397,1.362549066543579,1,246,41,,0
1,1759798477.3866634,1759798478.6903424,1.3036789894104004,1,246,43,,0
5,1759798477.8306637,1759798479.1404276,1.3097639083862305,1,246,39,,0
3,1759798480.1779468,1759798481.494056,1.3161091804504395,1,246,36,,0
4,1759798489.1387715,1759798491.511509,2.372737407684326,1,246,40,,0
1,1759798492.2617788,1759798494.0747914,1.8130125999450684,1,246,39,,0
1,1759798501.233152,1759798502.764712,1.5315601825714111,1,246,36,,0
3,1759798508.0062568,1759798509.1921859,1.1859290599822998,1,246,35,,1
5,1759798510.738205,1759798512.112202,1.3739969730377197,1,246,49,,1
5,1759798512.2252045,1759798513.6729329,1.4477283954620361,1,246,36,,1
2,1759798515.5424018,1759798517.564871,2.0224692821502686,1,246,39,,1
4,1759798528.8963938,1759798530.3579383,1.4615445137023926,1,246,38,,1
3,1759798537.6587114,1759798538.8267071,1.1679956912994385,1,246,40,,1
2,1759798538.3926795,1759798539.9772696,1.584590196609497,1,246,36,,1
4,1759798539.293712,1759798540.5021095,1.208397626876831,1,246,36,,1
1,1759798548.1936245,1759798549.671949,1.4783244132995605,1,246,38,,1
5,1759798552.3879209,1759798553.6886182,1.3006973266601562,1,246,43,,1
1,1759798556.1158812,1759798558.7892525,2.6733713150024414,1,246,35,,1
3,1759798560.5601897,1759798562.236508,1.6763181686401367,1,246,39,,1
2,1759798563.3036726,1759798564.5515022,1.2478296756744385,1,246,37,,2
2,1759798571.2745442,1759798572.9025354,1.6279911994934082,1,246,37,,2
4,1759798576.1057417,1759798577.1447423,1.0390005111694336,1,246,35,,2
5,1759798577.1037438,1759798578.8472302,1.7434864044189453,1,246,37,,2
5,1759798582.3563316,1759798583.7342198,1.3778882026672363,1,246,38,,2
1,1759798586.915173,1759798588.1628058,1.2476327419281006,1,246,38,,2
3,1759798588.7278073,1759798589.8593247,1.1315174102783203,1,246,33,,2
5,1759798594.9889634,1759798596.4895537,1.5005903244018555,1,246,42,,2
1,1759798602.827766,1759798604.7627726,1.9350066184997559,1,246,37,,2
4,1759798604.2228084,1759798605.814562,1.5917537212371826,1,246,40,,2
4,1759798615.9259129,1759798617.2594223,1.3335094451904297,1,246,39,,2
3,1759798624.676775,1759798625.9488506,1.2720756530761719,1,246,36,,3
5,1759798637.9624436,1759798639.362131,1.3996875286102295,1,246,39,,3
5,1759798643.833302,1759798645.5322478,1.6989457607269287,1,246,37,,3
2,1759798646.1544466,1759798647.4514515,1.2970049381256104,1,246,41,,3
4,1759798646.548416,1759798648.0746007,1.5261847972869873,1,246,43,,3
2,1759798656.3939357,1759798657.4370363,1.0431005954742432,1,246,37,,3
2,1759798658.5780451,1759798660.120009,1.541963815689087,1,246,41,,3
4,1759798665.2883046,1759798667.4088275,2.120522975921631,1,246,38,,3
4,1759798674.8338542,1759798676.2307703,1.396916151046753,1,246,31,,3
5,1759798686.590545,1759798688.4098825,1.8193376064300537,1,246,42,,4
2,1759798695.1120365,1759798696.6651902,1.5531537532806396,1,246,37,,4
5,1759798697.9981875,1759798699.4321513,1.4339637756347656,1,246,39,,4
3,1759798699.249152,1759798700.6196837,1.3705317974090576,1,246,37,,4
2,1759798700.2171352,1759798701.6867507,1.4696154594421387,1,246,42,,4
4,1759798706.1127763,1759798707.1222222,1.0094459056854248,1,246,39,,4
3,1759798706.2497754,1759798707.8982263,1.6484508514404297,1,246,44,,4
1,1759798708.4302547,1759798710.1918037,1.7615489959716797,1,246,42,,4
5,1759798716.3504884,1759798717.7714875,1.4209990501403809,1,246,38,,4
5,1759798723.2947881,1759798724.7274854,1.4326972961425781,1,246,46,,4
5,1759798727.9717863,1759798729.3234665,1.3516802787780762,1,246,36,,4
4,1759798738.53216,1759798740.3531606,1.821000576019287,1,246,40,,4
2,1759798738.0303068,1759798740.9342623,2.9039554595947266,1,246,42,,4
4,1759798747.2799132,1759798749.717511,2.4375977516174316,1,246,39,,5
3,1759798749.501541,1759798751.0635962,1.5620553493499756,1,246,42,,5
5,1759798770.3165429,1759798771.5980492,1.2815062999725342,1,246,42,,5
3,1759798783.3437102,1759798784.3069925,0.9632823467254639,1,246,33,,5
1,1759798784.602027,1759798786.1551402,1.5531132221221924,1,246,33,,5
3,1759798793.4787858,1759798795.0416734,1.5628876686096191,1,246,40,,5
1,1759798797.7709384,1759798799.8573878,2.086449384689331,1,246,38,,5
5,1759798803.720177,1759798805.4393134,1.7191364765167236,1,246,36,,6
4,1759798811.8527558,1759798813.1391118,1.286355972290039,1,246,40,,6
1,1759798813.9841146,1759798815.4106598,1.4265451431274414,1,246,39,,6
5,1759798828.8939333,1759798830.754614,1.8606808185577393,1,246,39,,6
4,1759798830.413648,1759798831.977832,1.5641841888427734,1,246,44,,6
4,1759798835.6448228,1759798836.904099,1.2592761516571045,1,246,45,,6
4,1759798843.5355465,1759798845.501649,1.9661023616790771,1,246,30,,6
4,1759798846.3626795,1759798847.512676,1.1499965190887451,1,246,45,,6
3,1759798859.5031707,1759798860.9437473,1.4405765533447266,1,246,43,,6
5,1759798860.4709845,1759798862.2690089,1.7980244159698486,1,246,40,,6
3,1759798861.091747,1759798862.6302643,1.5385172367095947,1,246,47,,6
2,1759798872.8463905,1759798874.2796288,1.4332382678985596,1,246,41,,7
5,1759798873.440378,1759798874.810628,1.3702499866485596,1,246,40,,7
4,1759798883.906266,1759798885.611404,1.7051379680633545,1,246,42,,7
4,1759798894.2255168,1759798896.0047936,1.7792768478393555,1,246,40,,7
4,1759798900.946118,1759798902.4441967,1.4980785846710205,1,246,46,,7
1,1759798911.8504348,1759798913.509843,1.6594083309173584,1,246,41,,7
3,1759798912.9518354,1759798914.1848092,1.2329738140106201,1,246,38,,7
5,1759798913.6578088,1759798915.0447123,1.3869035243988037,1,246,41,,7
1,1759798915.2236955,1759798916.5916984,1.3680028915405273,1,246,39,,7
1,1759798923.496956,1759798925.04363,1.5466737747192383,1,246,36,,8
5,1759798926.2077165,1759798927.5567164,1.3489999771118164,1,246,33,,8
4,1759798927.202682,1759798928.3492053,1.1465232372283936,1,246,35,,8
5,1759798930.7855554,1759798932.0775192,1.291963815689087,1,246,40,,8
1,1759798937.4165926,1759798938.8265326,1.4099400043487549,1,246,35,,8
4,1759798940.1598878,1759798941.5088573,1.3489694595336914,1,246,39,,8
4,1759798947.8913016,1759798949.5643053,1.6730036735534668,1,246,40,,8
1,1759798948.438372,1759798949.794295,1.3559231758117676,1,246,38,,8
5,1759798949.6853464,1759798950.9919808,1.3066344261169434,1,246,40,,8
3,1759798950.9070137,1759798952.1270661,1.2200524806976318,1,246,37,,8
4,1759798952.865008,1759798954.187058,1.322049856185913,1,246,36,,8
3,1759798955.3821616,1759798957.2257733,1.843611717224121,1,246,40,,8
2,1759798957.1458035,1759798958.819398,1.6735944747924805,1,246,41,,8
