minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,errors,cost_min_usd
0,4674,720,5394,1.6203499593232806,1.2538821697235107,19,0,0.00040485
1,3198,499,3697,1.2581525215735803,1.260042428970337,13,0,0.00027955
2,2460,370,2830,1.156719183921814,1.1429259777069092,10,0,0.00020950000000000002
3,2214,340,2554,1.1282736990186903,1.0736184120178223,9,0,0.00019135000000000002
4,3444,528,3972,1.1708560500826155,1.1190439462661743,14,0,0.0002973
5,1722,259,1981,1.3939697401864188,1.3580002784729004,7,0,0.00014665000000000001
6,2460,390,2850,1.1817869663238525,1.1563007831573486,10,0,0.0002175
7,2952,436,3388,1.1087074478467305,1.0545802116394043,12,0,0.0002482
8,3936,583,4519,1.1600925922393799,1.1013445854187012,16,0,0.00033160000000000004
9,4428,652,5080,1.182536005973816,1.1554358005523682,18,0,0.0003715
10,4674,715,5389,1.133738768728156,1.0993599891662598,19,0,0.00040285
11,2214,326,2540,1.1654400030771892,1.1036243438720703,9,0,0.00018575
12,3198,497,3695,1.1302431363325853,1.0588150024414062,13,0,0.00027875
13,2706,416,3122,1.2092344977638938,1.167116641998291,11,0,0.00023405000000000002
14,2214,322,2536,1.0774081018235948,1.0899994373321533,9,0,0.00018415
