minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,errors,cost_min_usd
0,4674,834,5508,2.324958449915836,1.9674174785614014,19,0,0.0012014999999999999
1,2706,479,3185,2.0393352291800757,1.9665939807891846,11,0,0.0006933
2,2952,532,3484,1.807576100031535,1.694071888923645,12,0,0.0007620000000000001
3,2214,410,2624,1.9984777238633897,1.945000171661377,9,0,0.0005780999999999999
4,2706,483,3189,2.57159103046764,1.7874376773834229,11,0,0.0006957
5,1968,339,2307,1.7707698047161102,1.5066537857055664,8,0,0.0004986
6,2214,404,2618,1.960654788547092,1.8380565643310547,9,0,0.0005744999999999999
7,2460,414,2874,1.6435293912887574,1.5610501766204834,10,0,0.0006173999999999999
8,4182,743,4925,1.6885601913227755,1.6142950057983398,17,0,0.0010731
9,3690,639,4329,1.7740657488505045,1.5159661769866943,15,0,0.0009369
10,5166,916,6082,1.6380481947036016,1.5671279430389404,21,0,0.0013245
11,2706,469,3175,1.9876920093189587,1.8826541900634766,11,0,0.0006873000000000001
12,2952,494,3446,1.8291995127995808,1.730421781539917,12,0,0.0007392
13,2460,424,2884,1.8610241889953614,1.5806283950805664,10,0,0.0006234
14,3198,546,3744,1.6321357213533843,1.6134445667266846,13,0,0.0008072999999999999
