npc_id,t_send,t_recv,latency_s,ok_json,tokens_in,tokens_out,error,minute
2,1759803350.6570978,1759803353.4607162,2.8036184310913086,1,246,41,,0
1,1759803350.6510987,1759803353.7587216,3.1076228618621826,1,246,42,,0
4,1759803350.6580968,1759803354.0916886,3.433591842651367,1,246,54,,0
3,1759803350.6580968,1759803354.1574466,3.49934983253479,1,246,40,,0
5,1759803350.6590993,1759803354.3046625,3.6455631256103516,1,246,50,,0
2,1759803358.5125194,1759803363.6901412,5.177621841430664,1,246,50,,0
3,1759803367.5654016,1759803368.724789,1.1593873500823975,1,246,47,,0
4,1759803367.199441,1759803369.723753,2.5243120193481445,1,246,44,,0
1,1759803370.8948214,1759803372.4956107,1.6007893085479736,1,246,42,,0
4,1759803372.0347862,1759803373.706564,1.6717777252197266,1,246,43,,0
4,1759803379.0649714,1759803381.5203402,2.455368757247925,1,246,36,,0
5,1759803383.6384907,1759803385.0884805,1.4499897956848145,1,246,41,,0
1,1759803385.2574785,1759803386.8478959,1.5904173851013184,1,246,46,,0
2,1759803384.996511,1759803386.9639285,1.9674174785614014,1,246,44,,0
5,1759803386.5099285,1759803388.2610826,1.7511541843414307,1,246,44,,0
3,1759803387.8541338,1759803390.0120769,2.1579430103302,1,246,41,,0
4,1759803397.410535,1759803398.585502,1.174966812133789,1,246,41,,0
1,1759803400.4109194,1759803401.932245,1.5213255882263184,1,246,48,,0
1,1759803409.0887332,1759803410.5707264,1.4819931983947754,1,246,40,,0
3,1759803416.5176983,1759803418.1040957,1.586397409439087,1,246,42,,1
5,1759803419.8574362,1759803421.2126331,1.3551969528198242,1,246,45,,1
5,1759803421.3356009,1759803424.6912808,3.355679988861084,1,246,48,,1
2,1759803426.4542832,1759803428.2581663,1.8038830757141113,1,246,43,,1
4,1759803435.983967,1759803439.0081146,3.0241475105285645,1,246,47,,1
3,1759803446.5612662,1759803448.5278602,1.9665939807891846,1,246,41,,1
4,1759803447.9438334,1759803449.558193,1.6143596172332764,1,246,42,,1
2,1759803449.0928307,1759803451.0863307,1.993499994277954,1,246,45,,1
1,1759803455.9998887,1759803458.0056946,2.0058059692382812,1,246,42,,1
5,1759803463.4086947,1759803465.642741,2.234046220779419,1,246,47,,1
1,1759803464.4536984,1759803465.9467752,1.4930768013000488,1,246,37,,1
3,1759803470.266318,1759803472.0837288,1.8174107074737549,1,246,47,,2
2,1759803474.4219027,1759803475.6649022,1.24299955368042,1,246,43,,2
2,1759803482.3953032,1759803485.555402,3.1600987911224365,1,246,44,,2
4,1759803485.1592891,1759803488.2711964,3.1119072437286377,1,246,39,,2
5,1759803489.0501893,1759803490.1757452,1.1255559921264648,1,246,48,,2
5,1759803493.6852505,1759803495.3471396,1.6618890762329102,1,246,50,,2
1,1759803494.0802567,1759803495.910149,1.8298923969268799,1,246,43,,2
3,1759803498.5705943,1759803500.296849,1.7262547016143799,1,246,41,,2
5,1759803506.5937734,1759803508.060035,1.466261625289917,1,246,46,,2
1,1759803510.5929737,1759803512.03501,1.4420363903045654,1,246,42,,2
4,1759803515.347824,1759803517.2049153,1.8570911884307861,1,246,49,,2
4,1759803527.3189325,1759803528.568448,1.2495155334472656,1,246,40,,2
3,1759803535.1166444,1759803536.687842,1.571197509765625,1,246,40,,3
5,1759803549.5159712,1759803551.7139242,2.19795298576355,1,246,46,,3
5,1759803556.1921015,1759803559.2068193,3.0147178173065186,1,246,43,,3
4,1759803557.8507447,1759803559.545818,1.6950733661651611,1,246,46,,3
2,1759803558.8238535,1759803560.5922556,1.768402099609375,1,246,44,,3
2,1759803569.5294242,1759803571.4744244,1.945000171661377,1,246,41,,3
2,1759803572.6199267,1759803574.6102233,1.9902966022491455,1,246,47,,3
4,1759803576.754248,1759803578.5265694,1.7723214626312256,1,246,48,,3
4,1759803585.9569898,1759803587.9883273,2.0313374996185303,1,246,55,,3
5,1759803600.250581,1759803602.4539654,2.2033843994140625,1,246,49,,4
2,1759803609.622655,1759803611.4100926,1.7874376773834229,1,246,37,,4
3,1759803609.9890509,1759803611.5290918,1.5400409698486328,1,246,40,,4
5,1759803612.0485294,1759803613.3358917,1.2873623371124268,1,246,40,,4
2,1759803614.9560533,1759803616.5246954,1.5686421394348145,1,246,51,,4
1,1759803615.698056,1759803618.9777846,3.279728651046753,1,246,42,,4
4,1759803617.8614726,1759803619.5854657,1.7239930629730225,1,246,47,,4
3,1759803617.1592467,1759803622.9684958,5.80924916267395,1,246,45,,4
5,1759803630.2506566,1759803635.8643928,5.613736152648926,1,246,47,,4
5,1759803641.3898318,1759803643.4517908,2.0619590282440186,1,246,46,,4
