minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,errors,cost_min_usd
0,3920,18276,22196,7.427340388298035,7.3515777587890625,16,0,0.007330000000000001
1,2205,9072,11277,6.809114985995823,5.7433342933654785,9,0,0.003639825
2,2450,10982,13432,6.368060636520386,6.0717997550964355,10,0,0.004405050000000001
3,1715,8084,9799,8.725074563707624,7.8303446769714355,7,0,0.0032421749999999995
4,1960,8560,10520,6.534486323595047,6.851476073265076,8,0,0.0034338
5,2695,12101,14796,7.609400814229792,7.429128408432007,11,0,0.0048538750000000006
6,1470,6974,8444,7.792353868484497,7.954822301864624,6,0,0.0027969500000000003
7,1715,8547,10262,9.050302471433367,8.570497512817383,7,0,0.0034273750000000003
8,2205,9287,11492,6.790196392271254,6.321803569793701,9,0,0.0037258250000000003
9,2450,11355,13805,6.968766975402832,6.818909764289856,10,0,0.00455425
10,2940,12586,15526,6.768669029076894,5.888866424560547,12,0,0.005049100000000001
11,3675,16503,20178,6.1805811087290445,5.86176061630249,15,0,0.006619575000000001
12,4165,16462,20627,5.679794423720416,5.456836462020874,17,0,0.006605625000000001
13,2695,12368,15063,7.62166411226446,7.9275102615356445,11,0,0.004960675
14,1225,6306,7531,8.823964738845826,8.130685329437256,5,0,0.0025285250000000002
15,735,3643,4378,8.773571888605753,8.685778617858887,3,0,0.0014608750000000002
