npc_id,t_send,t_recv,latency_s,ok_json,tokens_in,tokens_out,error,minute
5,1759800773.1224632,1759800780.460581,7.338117837905884,1,245,1073,,0
3,1759800773.1214628,1759800781.6185794,8.497116565704346,1,245,1066,,0
2,1759800773.1204627,1759800781.660639,8.540176391601562,1,245,1133,,0
1,1759800773.1154642,1759800782.065579,8.950114727020264,1,245,1058,,0
4,1759800773.1214628,1759800783.5517416,10.430278778076172,1,245,1454,,0
2,1759800786.7037702,1759800792.4624734,5.758703231811523,1,245,1002,,0
3,1759800795.008331,1759800800.7882981,5.7799670696258545,1,245,873,,0
4,1759800796.6733365,1759800803.3767216,6.7033851146698,1,245,1066,,0
1,1759800799.203541,1759800807.0702164,7.86667537689209,1,245,1191,,0
4,1759800805.6866813,1759800811.7075725,6.020891189575195,1,245,1002,,0
5,1759800809.8014753,1759800817.0488403,7.2473649978637695,1,245,1451,,0
2,1759800813.750535,1759800821.9077475,8.157212495803833,1,245,1452,,0
4,1759800817.0488403,1759800823.1567519,6.107911586761475,1,245,1133,,0
5,1759800818.4724343,1759800825.837472,7.365037679672241,1,245,1004,,0
1,1759800819.8362134,1759800826.5064375,6.670224189758301,1,245,1070,,0
3,1759800819.9112468,1759800827.3155158,7.404268980026245,1,245,1248,,0
4,1759800839.0352569,1759800845.725628,6.690371036529541,1,245,1318,,1
1,1759800840.0572922,1759800845.8006265,5.7433342933654785,1,245,879,,1
1,1759800852.9614296,1759800859.1576095,6.1961798667907715,1,245,1187,,1
5,1759800857.431384,1759800862.8329973,5.401613235473633,1,245,871,,1
2,1759800861.4059927,1759800866.5451663,5.13917350769043,1,245,870,,1
5,1759800862.9550295,1759800869.118321,6.1632914543151855,1,245,1070,,1
3,1759800853.830429,1759800869.3363197,15.505890607833862,1,245,1265,,1
4,1759800883.1136205,1759800887.9319532,4.818332672119141,1,245,801,,1
2,1759800887.3649132,1759800892.9887614,5.62384819984436,1,245,811,,1
3,1759800897.788991,1759800902.4574802,4.668489217758179,1,245,806,,2
4,1759800896.8586366,1759800903.1034765,6.244839906692505,1,245,1132,,2
1,1759800904.5993075,1759800910.3379605,5.738652944564819,1,245,938,,2
5,1759800907.8394182,1759800913.068596,5.229177713394165,1,245,877,,2
1,1759800916.780909,1759800921.906346,5.125437021255493,1,245,877,,2
2,1759800916.322898,1759800923.0767555,6.753857612609863,1,245,1253,,2
3,1759800924.1957898,1759800933.9414701,9.745680332183838,1,245,1905,,2
2,1759800929.8038049,1759800937.2106297,7.406824827194214,1,245,1316,,2
5,1759800936.4596248,1759800942.3583844,5.898759603500366,1,245,943,,2
4,1759800938.698611,1759800945.5674982,6.868887186050415,1,245,935,,2
5,1759800945.8515322,1759800954.3471668,8.49563455581665,1,245,1129,,3
1,1759800950.0388713,1759800957.869216,7.8303446769714355,1,245,1255,,3
3,1759800960.4383612,1759800971.4045098,10.966148614883423,1,245,1321,,3
5,1759800965.6017766,1759800972.3308234,6.729046821594238,1,245,872,,3
1,1759800972.5280628,1759800980.1775348,7.649471998214722,1,245,939,,3
4,1759800972.650061,1759800984.2719557,11.621894836425781,1,245,1571,,3
4,1759800994.3854797,1759801002.1684601,7.782980442047119,1,245,997,,3
3,1759801006.2192502,1759801013.2714882,7.0522379875183105,1,245,991,,4
2,1759801010.4654574,1759801018.1006513,7.635193824768066,1,245,1124,,4
5,1759801013.803501,1759801019.1136837,5.310182809829712,1,245,931,,4
5,1759801023.588291,1759801031.3723688,7.784077882766724,1,245,1450,,4
2,1759801027.0411193,1759801033.6918335,6.650714159011841,1,245,1189,,4
4,1759801031.4543667,1759801036.6246347,5.1702680587768555,1,245,818,,4
2,1759801034.8368134,1759801042.2212474,7.38443398475647,1,245,1193,,4
4,1759801053.8358908,1759801059.1246727,5.2887818813323975,1,245,864,,4
4,1759801066.5432417,1759801073.705973,7.162731170654297,1,245,1256,,5
5,1759801072.4131625,1759801078.0952244,5.6820619106292725,1,245,943,,5
2,1759801077.2316127,1759801084.0165365,6.784923791885376,1,245,866,,5
1,1759801083.8465416,1759801091.0526521,7.20611047744751,1,245,1066,,5
3,1759801086.5584164,1759801094.725659,8.167242527008057,1,245,1264,,5
5,1759801087.6708777,1759801096.2110841,8.54020643234253,1,245,1258,,5
2,1759801087.564845,1759801096.27396,8.709115028381348,1,245,1188,,5
3,1759801100.363594,1759801108.5155733,8.151979207992554,1,245,1129,,5
4,1759801103.5769727,1759801112.733448,9.156475305557251,1,245,1128,,5
5,1759801113.137447,1759801120.5665755,7.429128408432007,1,245,1005,,5
5,1759801126.0877366,1759801132.8011713,6.71343469619751,1,245,998,,5
2,1759801132.626174,1759801141.0945303,8.468356370925903,1,245,1127,,6
5,1759801136.03624,1759801143.4775283,7.441288232803345,1,245,1129,,6
4,1759801144.1449585,1759801151.0992188,6.954260349273682,1,245,1130,,6
3,1759801150.1240032,1759801155.9657006,5.841697454452515,1,245,940,,6
4,1759801158.0294294,1759801167.2102838,9.180854320526123,1,245,1317,,6
1,1759801165.475238,1759801174.3429046,8.867666482925415,1,245,1331,,6
5,1759801184.4843287,1759801194.8589175,10.37458872795105,1,245,1459,,7
3,1759801188.2419224,1759801195.3172169,7.075294494628906,1,245,1000,,7
1,1759801185.9478629,1759801198.7525513,12.804688453674316,1,245,1446,,7
3,1759801204.4785488,1759801211.7366312,7.258082389831543,1,245,1197,,7
1,1759801212.8896296,1759801220.3566048,7.466975212097168,1,245,1125,,7
5,1759801226.978414,1759801235.5489116,8.570497512817383,1,245,1128,,7
4,1759801229.3501897,1759801239.1521802,9.801990509033203,1,245,1192,,7
4,1759801256.443351,1759801262.5939164,6.1505653858184814,1,245,933,,8
5,1759801259.0040424,1759801266.9711778,7.967135429382324,1,245,937,,8
4,1759801266.2652206,1759801272.2819498,6.016729116439819,1,245,874,,8
2,1759801273.0166554,1759801280.1249132,7.10825777053833,1,245,1069,,8
3,1759801276.1892273,1759801284.367366,8.178138732910156,1,245,1069,,8
4,1759801278.9215672,1759801285.2433708,6.321803569793701,1,245,1074,,8
3,1759801284.5133657,1759801290.5379002,6.024534463882446,1,245,1070,,8
4,1759801286.1082666,1759801291.8648627,5.756596088409424,1,245,873,,8
5,1759801296.6947567,1759801304.2827637,7.588006973266602,1,245,1388,,8
5,1759801315.4565425,1759801321.1561863,5.699643850326538,1,245,1064,,9
1,1759801316.7803574,1759801322.9632323,6.182874917984009,1,245,1066,,9
1,1759801324.664881,1759801331.2955222,6.630641222000122,1,245,1061,,9
4,1759801328.2640932,1759801336.953471,8.689377784729004,1,245,1257,,9
1,1759801338.1915355,1759801345.019802,6.828266620635986,1,245,1056,,9
3,1759801340.8621626,1759801349.2685864,8.406423807144165,1,245,1387,,9
4,1759801345.5708368,1759801352.6307783,7.059941530227661,1,245,1006,,9
4,1759801357.5643837,1759801363.82289,6.2585062980651855,1,245,1134,,9
1,1759801357.4134183,1759801364.535859,7.122440814971924,1,245,1329,,9
5,1759801360.0096273,1759801366.8191803,6.809552907943726,1,245,995,,9
2,1759801363.0118616,1759801377.4030423,14.391180753707886,1,245,1200,,10
1,1759801374.1679747,1759801383.1191747,8.951200008392334,1,245,1260,,10
5,1759801377.9890096,1759801383.675177,5.686167478561401,1,245,999,,10
3,1759801385.9956436,1759801391.3001337,5.304490089416504,1,245,812,,10
5,1759801386.910672,1759801394.2129607,7.302288770675659,1,245,1198,,10
4,1759801388.582516,1759801394.477648,5.895132064819336,1,245,1060,,10
1,1759801392.2982907,1759801396.5119538,4.213663101196289,1,245,807,,10
3,1759801394.558649,1759801400.181658,5.623008966445923,1,245,1074,,10
2,1759801396.5119538,1759801401.6157346,5.103780746459961,1,245,935,,10
4,1759801406.284193,1759801412.9017498,6.617556810379028,1,245,1059,,10
5,1759801411.8123271,1759801417.694928,5.882600784301758,1,245,1056,,10
4,1759801419.2793305,1759801425.5322893,6.25295877456665,1,245,1126,,10
5,1759801425.570321,1759801434.2085843,8.63826322555542,1,245,1582,,11
4,1759801428.8422003,1759801436.4228961,7.580695867538452,1,245,1201,,11
1,1759801435.1811943,1759801439.7492757,4.568081378936768,1,245,867,,11
2,1759801437.7019455,1759801445.4414704,7.739524841308594,1,245,1189,,11
3,1759801447.6576672,1759801452.8088531,5.151185989379883,1,245,998,,11
5,1759801451.2228868,1759801456.8840759,5.661189079284668,1,245,1008,,11
2,1759801453.1641355,1759801460.3951528,7.231017351150513,1,245,1451,,11
4,1759801454.9991345,1759801461.904026,6.904891490936279,1,245,1392,,11
2,1759801465.432003,1759801470.3926864,4.960683345794678,1,245,880,,11
3,1759801466.7662294,1759801471.7325237,4.966294288635254,1,245,863,,11
1,1759801469.2957103,1759801475.157471,5.86176061630249,1,245,1059,,11
3,1759801474.195469,1759801480.2284017,6.032932758331299,1,245,1077,,11
4,1759801475.3314397,1759801480.8674045,5.535964727401733,1,245,865,,11
1,1759801478.4373286,1759801484.1631043,5.725775718688965,1,245,875,,11
2,1759801480.1804485,1759801486.3309045,6.150455951690674,1,245,1196,,11
2,1759801486.8457978,1759801494.412242,7.566444158554077,1,245,936,,12
5,1759801490.4811096,1759801495.1272423,4.646132707595825,1,245,874,,12
3,1759801495.3962426,1759801500.3765223,4.9802796840667725,1,245,864,,12
4,1759801497.5771885,1759801501.9785206,4.401332139968872,1,245,867,,12
1,1759801502.3940148,1759801507.8598099,5.465795040130615,1,245,1003,,12
3,1759801510.9346826,1759801517.036677,6.101994276046753,1,245,1061,,12
5,1759801511.1026828,1759801517.0696502,5.966967344284058,1,245,1132,,12
2,1759801515.5698729,1759801521.9796505,6.409777641296387,1,245,1134,,12
3,1759801518.3975713,1759801522.5566154,4.159044027328491,1,245,735,,12
1,1759801517.556684,1759801524.4406598,6.8839757442474365,1,245,1388,,12
5,1759801520.3176117,1759801525.3431485,5.025536775588989,1,245,801,,12
2,1759801530.2973287,1759801539.6573267,9.359997987747192,1,245,1062,,12
4,1759801534.384474,1759801540.0422933,5.6578192710876465,1,245,1061,,12
1,1759801536.4538069,1759801541.1014442,4.647637367248535,1,245,864,,12
2,1759801543.0638893,1759801548.5207257,5.456836462020874,1,245,927,,12
4,1759801546.0622413,1759801550.7856905,4.723449230194092,1,245,811,,12
1,1759801546.4012055,1759801551.504691,5.103485345840454,1,245,942,,12
2,1759801552.0321383,1759801559.9994211,7.967282772064209,1,245,1447,,13
5,1759801554.3453958,1759801560.4874578,6.142061948776245,1,245,1072,,13
5,1759801561.2465506,1759801568.0339046,6.787353992462158,1,245,1056,,13
3,1759801564.6955774,1759801572.7245178,8.028940439224243,1,245,1124,,13
5,1759801572.5705504,1759801581.1838102,8.61325979232788,1,245,1065,,13
1,1759801578.5857568,1759801584.3168175,5.731060743331909,1,245,815,,13
3,1759801579.2385378,1759801587.166048,7.9275102615356445,1,245,1196,,13
2,1759801586.4690194,1759801597.0030184,10.533998966217041,1,245,1390,,13
4,1759801588.2601147,1759801598.4040194,10.143904685974121,1,245,1444,,13
5,1759801599.8925552,1759801605.8226295,5.930074214935303,1,245,1008,,13
3,1759801601.515564,1759801607.5484214,6.032857418060303,1,245,751,,13
1,1759801607.3964558,1759801614.7338958,7.337440013885498,1,245,1065,,14
4,1759801616.741839,1759801624.0924678,7.350628852844238,1,245,1136,,14
2,1759801617.1969576,1759801627.9266138,10.729656219482422,1,245,1454,,14
1,1759801621.6658704,1759801629.7965558,8.130685329437256,1,245,1069,,14
5,1759801620.8458912,1759801631.4173045,10.571413278579712,1,245,1582,,14
5,1759801668.896294,1759801676.4683845,7.57209038734436,1,245,1003,,15
3,1759801669.2177923,1759801679.280639,10.062846660614014,1,245,1444,,15
2,1759801671.4198558,1759801680.1056345,8.685778617858887,1,245,1196,,15
