minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,ok_json,invalid_json,cost_min_usd
0,8352,1560,9912,3.102692307692308,2.605,13,13,0,0.0
1,12353,1901,14254,2.737142857142857,2.6355,14,14,0,0.0
2,12840,1736,14576,2.8913076923076924,2.662,13,13,0,0.0
3,10847,1467,12314,3.2353636363636364,3.072,11,11,0,0.0
4,2026,279,2305,3.106,3.106,2,2,0,0.0
5,7603,984,8587,2.65575,2.55,8,8,0,0.0
6,14014,1856,15870,2.7980666666666667,2.609,15,15,0,0.0
7,7442,922,8364,2.682,2.5975,8,8,0,0.0
8,12237,1584,13821,2.754846153846154,2.496,13,13,0,0.0
9,11482,1498,12980,2.38925,2.387,12,12,0,0.0
10,7817,1126,8943,2.739625,2.6685,8,8,0,0.0
11,13668,1819,15487,2.775571428571429,2.6950000000000003,14,14,0,0.0
12,11568,1430,12998,2.5436666666666667,2.4095,12,12,0,0.0
13,13937,1868,15805,2.6449285714285713,2.559,14,14,0,0.0
14,13822,1806,15628,2.8102142857142858,2.6345,14,14,0,0.0
