request_idx,timestamp,minute,tokens_in,tokens_out,tokens_total,ok_json,latency_s
0,1772410807,0,509,120,629,1,2.56
1,1772410808,0,510,106,616,1,2.814
2,1772410810,0,560,117,677,1,2.246
3,1772410809,0,510,120,630,1,4.608
4,1772410812,0,516,120,636,1,2.271
5,1772410811,0,559,132,691,1,6.832
6,1772410819,0,731,119,850,1,2.707
7,1772410846,0,704,125,829,1,3.786
8,1772410848,0,687,128,815,1,2.405
9,1772410849,0,780,107,887,1,2.763
10,1772410851,0,737,130,867,1,2.476
11,1772410857,0,682,130,812,1,2.605
12,1772410866,0,867,106,973,1,2.262
13,1772410872,1,759,160,919,1,3.081
14,1772410884,1,802,147,949,1,2.637
15,1772410886,1,890,132,1022,1,2.41
16,1772410893,1,728,112,840,1,2.085
17,1772410894,1,910,134,1044,1,2.747
18,1772410895,1,716,108,824,1,2.16
19,1772410896,1,885,171,1056,1,3.054
20,1772410907,1,917,112,1029,1,2.386
21,1772410909,1,825,130,955,1,3.591
22,1772410910,1,997,178,1175,1,3.352
23,1772410912,1,938,142,1080,1,2.634
24,1772410919,1,887,106,993,1,2.14
25,1772410924,1,1045,104,1149,1,2.119
26,1772410926,1,1054,165,1219,1,3.924
27,1772410931,2,1046,99,1145,1,1.913
28,1772410935,2,1063,112,1175,1,2.11
29,1772410941,2,1054,148,1202,1,2.877
30,1772410944,2,917,128,1045,1,2.487
31,1772410945,2,1040,119,1159,1,2.561
32,1772410950,2,835,105,940,1,2.321
33,1772410958,2,1064,156,1220,1,3.323
34,1772410965,2,942,156,1098,1,4.359
35,1772410971,2,1057,139,1196,1,2.977
36,1772410973,2,1053,150,1203,1,4.537
37,1772410979,2,943,157,1100,1,2.88
38,1772410980,2,892,128,1020,1,2.58
39,1772410986,2,934,139,1073,1,2.662
40,1772410987,3,1015,147,1162,1,2.758
41,1772410988,3,1014,165,1179,1,3.158
42,1772411001,3,936,99,1035,1,2.19
43,1772411003,3,992,141,1133,1,2.655
44,1772411004,3,969,151,1120,1,3.845
45,1772411005,3,948,134,1082,1,3.072
46,1772411019,3,988,147,1135,1,5.135
47,1772411037,3,998,158,1156,1,3.14
48,1772411038,3,999,103,1102,1,4.725
49,1772411041,3,1041,111,1152,1,2.585
50,1772411044,3,947,111,1058,1,2.326
51,1772411053,4,1011,142,1153,1,3.109
52,1772411069,4,1015,137,1152,1,3.103
53,1772411109,5,1008,116,1124,1,2.643
54,1772411110,5,922,108,1030,1,2.575
55,1772411137,5,932,127,1059,1,3.095
56,1772411144,5,932,129,1061,1,2.525
57,1772411148,5,947,111,1058,1,2.461
58,1772411154,5,1002,169,1171,1,3.238
59,1772411159,5,925,123,1048,1,2.257
60,1772411166,5,935,101,1036,1,2.452
61,1772411167,6,913,114,1027,1,2.499
62,1772411170,6,933,160,1093,1,3.757
63,1772411182,6,933,133,1066,1,3.242
64,1772411183,6,974,118,1092,1,2.738
65,1772411184,6,906,121,1027,1,2.403
66,1772411185,6,976,149,1125,1,3.155
67,1772411189,6,923,119,1042,1,2.54
68,1772411192,6,928,115,1043,1,2.469
69,1772411197,6,885,103,988,1,3.35
70,1772411198,6,961,124,1085,1,2.365
71,1772411202,6,951,118,1069,1,2.304
72,1772411204,6,929,132,1061,1,3.177
73,1772411214,6,950,107,1057,1,3.096
74,1772411217,6,937,125,1062,1,2.267
75,1772411218,6,915,118,1033,1,2.609
76,1772411231,7,931,101,1032,1,2.005
77,1772411237,7,929,95,1024,1,1.961
78,1772411239,7,920,113,1033,1,2.409
79,1772411243,7,918,97,1015,1,2.908
80,1772411251,7,944,143,1087,1,2.786
81,1772411272,7,936,137,1073,1,3.909
82,1772411277,7,926,116,1042,1,3.19
83,1772411283,7,938,120,1058,1,2.288
84,1772411289,8,929,111,1040,1,2.574
85,1772411291,8,946,133,1079,1,2.484
86,1772411298,8,956,120,1076,1,2.297
87,1772411304,8,948,135,1083,1,4.058
88,1772411308,8,928,104,1032,1,2.487
89,1772411313,8,933,136,1069,1,2.639
90,1772411315,8,927,108,1035,1,2.496
91,1772411323,8,952,132,1084,1,2.359
92,1772411330,8,932,114,1046,1,2.796
93,1772411336,8,931,135,1066,1,3.11
94,1772411337,8,952,127,1079,1,2.269
95,1772411342,8,952,117,1069,1,4.046
96,1772411344,8,951,112,1063,1,2.198
97,1772411351,9,976,136,1112,1,2.419
98,1772411352,9,926,103,1029,1,2.103
99,1772411356,9,943,168,1111,1,2.869
100,1772411358,9,934,110,1044,1,2.19
101,1772411365,9,978,134,1112,1,2.394
102,1772411368,9,930,122,1052,1,2.38
103,1772411370,9,931,104,1035,1,2.122
