minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,ok_json,invalid_json,cost_min_usd
0,13046,1919,14965,1.15215,1.134,20,20,0,0.0
1,13471,1766,15237,1.0586470588235295,0.97,17,17,0,0.0
2,16891,2047,18938,1.202,0.982,20,20,0,0.0
3,5065,561,5626,1.0378333333333334,0.9664999999999999,6,6,0,0.0
4,6515,747,7262,0.90575,0.92,8,8,0,0.0
5,20046,2480,22526,1.02928,1.039,25,25,0,0.0
6,19465,2349,21814,1.0107826086956522,0.998,23,23,0,0.0
7,18948,2301,21249,0.9417826086956522,0.942,23,23,0,0.0
8,18587,2287,20874,1.048181818181818,1.026,22,22,0,0.0
9,17061,1982,19043,1.12565,0.8975,20,20,0,0.0
10,6087,760,6847,0.9858571428571429,0.979,7,7,0,0.0
11,15044,1703,16747,1.0387777777777778,0.951,18,18,0,0.0
12,16357,1951,18308,1.0453,0.9864999999999999,20,20,0,0.0
13,21785,2737,24522,1.3081153846153848,1.0590000000000002,26,26,0,0.0
14,13381,1635,15016,0.9640625,0.9535,16,16,0,0.0
15,836,111,947,1.103,1.103,1,1,0,0.0
