request_idx,timestamp,minute,tokens_in,tokens_out,tokens_total,ok_json,latency_s
0,1772411974,0,453,98,551,1,1.24
1,1772411975,0,458,88,546,1,1.241
2,1772411976,0,495,106,601,1,1.064
3,1772411977,0,505,85,590,1,1.425
4,1772411978,0,539,78,617,1,1.764
5,1772411979,0,547,97,644,1,1.168
6,1772411991,0,644,94,738,1,0.939
7,1772411992,0,672,91,763,1,1.631
8,1772412002,0,598,91,689,1,0.823
9,1772412003,0,636,106,742,1,1.155
10,1772412004,0,692,91,783,1,1.124
11,1772412005,0,697,104,801,1,1.212
12,1772412012,0,761,89,850,1,0.96
13,1772412013,0,771,97,868,1,1.096
14,1772412014,0,706,91,797,1,0.97
15,1772412018,0,796,109,905,1,1.186
16,1772412019,0,675,93,768,1,1.144
17,1772412020,0,812,118,930,1,1.053
18,1772412027,0,750,89,839,1,0.87
19,1772412033,0,839,104,943,1,0.978
20,1772412037,1,748,93,841,1,1.556
21,1772412044,1,618,110,728,1,1.201
22,1772412046,1,847,132,979,1,1.293
23,1772412049,1,698,103,801,1,0.977
24,1772412051,1,856,103,959,1,0.834
25,1772412059,1,825,107,932,1,0.944
26,1772412060,1,865,105,970,1,1.052
27,1772412063,1,810,95,905,1,0.928
28,1772412073,1,881,93,974,1,0.951
29,1772412076,1,653,90,743,1,0.809
30,1772412077,1,908,114,1022,1,1.088
31,1772412078,1,797,103,900,1,0.82
32,1772412084,1,717,78,795,1,0.771
33,1772412088,1,830,118,948,1,0.939
34,1772412090,1,699,94,793,1,0.97
35,1772412091,1,922,116,1038,1,1.142
36,1772412092,1,797,112,909,1,1.722
37,1772412096,2,764,90,854,1,1.12
38,1772412101,2,938,124,1062,1,1.127
39,1772412102,2,707,99,806,1,0.753
40,1772412104,2,789,94,883,1,0.992
41,1772412107,2,762,89,851,1,0.855
42,1772412106,2,835,106,941,1,1.902
43,1772412109,2,957,122,1079,1,4.012
44,1772412119,2,829,104,933,1,0.891
45,1772412122,2,836,99,935,1,1.053
46,1772412124,2,975,122,1097,1,0.986
47,1772412125,2,787,88,875,1,1.738
48,1772412128,2,823,99,922,1,0.779
49,1772412135,2,862,90,952,1,0.899
50,1772412140,2,846,117,963,1,1.11
51,1772412141,2,983,118,1101,1,1.095
52,1772412142,2,845,104,949,1,0.958
53,1772412143,2,847,98,945,1,0.945
54,1772412144,2,773,92,865,1,0.978
55,1772412152,2,875,102,977,1,0.955
56,1772412153,2,858,90,948,1,0.892
57,1772412154,3,896,86,982,1,1.153
58,1772412164,3,873,93,966,1,0.877
59,1772412165,3,857,91,948,1,0.886
60,1772412166,3,840,106,946,1,1.378
61,1772412179,3,805,83,888,1,0.954
62,1772412180,3,794,102,896,1,0.979
63,1772412220,4,829,97,926,1,0.976
64,1772412224,4,839,73,912,1,0.643
65,1772412226,4,864,110,974,1,1.053
66,1772412227,4,809,102,911,1,0.919
67,1772412228,4,789,88,877,1,0.886
