minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,ok_json,invalid_json,cost_min_usd
0,6985,1059,8044,0.96125,0.9410000000000001,12,12,0,0.0
1,11227,1552,12779,1.1246,1.09,15,15,0,0.0
2,14726,1973,16699,1.1477777777777778,1.0655000000000001,18,18,0,0.0
3,11718,1400,13118,1.0878571428571429,1.1515,14,14,0,0.0
4,7476,828,8304,1.0037777777777777,0.928,9,9,0,0.0
5,10439,1402,11841,1.137230769230769,1.114,13,13,0,0.0
6,11325,1373,12698,1.2482857142857142,1.036,14,14,0,0.0
7,13028,1610,14638,1.0623125,0.9895,16,16,0,0.0
8,10302,1202,11504,1.020076923076923,1.046,13,13,0,0.0
9,10419,1401,11820,1.2369230769230768,1.202,13,13,0,0.0
10,7167,830,7997,0.9534444444444444,0.958,9,9,0,0.0
11,7186,807,7993,1.2484444444444445,0.87,9,9,0,0.0
12,6077,746,6823,0.853125,0.8200000000000001,8,8,0,0.0
13,13284,1607,14891,0.9101176470588235,0.871,17,17,0,0.0
14,15251,1934,17185,0.9816842105263158,0.952,19,19,0,0.0
