request_idx,timestamp,minute,tokens_in,tokens_out,tokens_total,ok_json,latency_s
0,1772401054,0,455,83,538,1,0.904
1,1772401055,0,455,99,554,1,0.98
2,1772401056,0,494,93,587,1,0.93
3,1772401057,0,534,82,616,1,0.804
4,1772401058,0,572,88,660,1,0.971
5,1772401059,0,536,86,622,1,0.81
6,1772401089,0,694,90,784,1,0.946
7,1772401103,0,615,93,708,1,1.03
8,1772401104,0,647,91,738,1,0.936
9,1772401106,0,672,82,754,1,0.844
10,1772401107,0,648,93,741,1,0.958
11,1772401109,0,663,79,742,1,1.422
12,1772401128,1,735,99,834,1,1.043
13,1772401138,1,690,108,798,1,0.94
14,1772401142,1,673,101,774,1,1.06
15,1772401143,1,641,78,719,1,0.891
16,1772401145,1,714,113,827,1,1.35
17,1772401147,1,742,96,838,1,1.175
18,1772401155,1,719,142,861,1,1.28
19,1772401156,1,750,102,852,1,1.46
20,1772401160,1,806,108,914,1,1.096
21,1772401166,1,807,117,924,1,1.09
22,1772401167,1,802,90,892,1,0.957
23,1772401168,1,815,114,929,1,1.397
24,1772401169,1,788,102,890,1,1.075
25,1772401170,1,814,80,894,1,0.841
26,1772401171,1,731,102,833,1,1.214
27,1772401177,2,810,103,913,1,0.954
28,1772401178,2,798,134,932,1,1.647
29,1772401183,2,811,104,915,1,1.223
30,1772401184,2,779,118,897,1,1.069
31,1772401188,2,818,115,933,1,0.986
32,1772401189,2,807,126,933,1,1.22
33,1772401193,2,815,122,937,1,1.385
34,1772401195,2,834,110,944,1,1.554
35,1772401198,2,840,115,955,1,0.941
36,1772401200,2,812,78,890,1,0.973
37,1772401201,2,805,100,905,1,0.905
38,1772401202,2,810,116,926,1,0.994
39,1772401205,2,805,98,903,1,1.032
40,1772401211,2,814,104,918,1,1.377
41,1772401221,2,857,113,970,1,1.103
42,1772401222,2,846,115,961,1,1.062
43,1772401227,2,835,109,944,1,1.238
44,1772401229,2,830,93,923,1,0.997
45,1772401234,3,826,91,917,1,0.991
46,1772401239,3,813,112,925,1,1.326
47,1772401246,3,862,116,978,1,1.194
48,1772401248,3,854,130,984,1,1.205
49,1772401251,3,837,101,938,1,1.174
50,1772401253,3,818,104,922,1,1.188
51,1772401255,3,841,94,935,1,0.904
52,1772401256,3,827,94,921,1,0.948
53,1772401265,3,801,102,903,1,1.188
54,1772401271,3,863,81,944,1,0.863
55,1772401273,3,843,94,937,1,1.145
56,1772401274,3,858,91,949,1,0.943
57,1772401278,3,832,92,924,1,1.003
58,1772401279,3,843,98,941,1,1.158
59,1772401295,4,854,90,944,1,1.023
60,1772401297,4,846,90,936,1,0.863
61,1772401298,4,854,97,951,1,0.807
62,1772401302,4,826,76,902,1,0.887
63,1772401303,4,816,78,894,1,0.928
64,1772401320,4,835,85,920,1,0.777
65,1772401327,4,806,93,899,1,1.176
66,1772401328,4,814,82,896,1,1.382
67,1772401353,4,825,137,962,1,1.191
68,1772401372,5,794,91,885,1,1.028
69,1772401373,5,791,117,908,1,1.593
70,1772401378,5,810,117,927,1,1.243
71,1772401388,5,787,100,887,1,1.025
72,1772401392,5,807,110,917,1,1.18
73,1772401395,5,807,110,917,1,0.897
74,1772401396,5,777,102,879,1,1.281
75,1772401403,5,824,115,939,1,1.17
76,1772401405,5,812,115,927,1,1.114
77,1772401406,5,816,81,897,1,0.859
78,1772401407,5,766,129,895,1,1.31
79,1772401411,5,808,94,902,1,0.979
80,1772401412,5,840,121,961,1,1.105
81,1772401417,6,834,85,919,1,1.02
82,1772401420,6,822,93,915,1,0.712
83,1772401422,6,808,112,920,1,1.07
84,1772401421,6,777,121,898,1,2.24
85,1772401423,6,822,110,932,1,3.62
