minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,ok_json,invalid_json,cost_min_usd
0,12607,2110,14717,3.3201111111111112,2.447,18,18,0,0.0
1,16270,2052,18322,2.435235294117647,2.449,17,17,0,0.0
2,16678,2217,18895,2.826117647058824,2.646,17,17,0,0.0
3,13810,2041,15851,3.6694999999999998,3.0215,14,14,0,0.0
4,15616,2086,17702,2.9724333333333335,2.695,15,15,0,0.0
5,7558,1003,8561,2.975625,2.6185,8,8,0,0.0
6,9208,1206,10414,2.4202,2.424,10,10,0,0.0
7,9397,1250,10647,3.271,2.7205,10,10,0,0.0
8,14663,1824,16487,2.8857333333333335,2.621,15,15,0,0.0
9,16846,2265,19111,2.534,2.6605,17,17,0,0.0
10,11941,1701,13642,2.9475833333333337,2.9855,12,12,0,0.0
11,20940,2980,23920,3.0318571428571426,2.903,21,21,0,0.0
12,18250,2489,20739,3.060277777777778,2.872,18,18,0,0.0
13,14930,1939,16869,2.4167666666666667,2.595,15,15,0,0.0
14,24073,3226,27299,2.9856874999999996,2.6365,24,24,0,0.0
