request_idx,timestamp,minute,tokens_in,tokens_out,tokens_total,ok_json,latency_s
0,1772418037,0,512,124,636,1,2.79
1,1772418038,0,507,118,625,1,2.315
2,1772418039,0,514,112,626,1,2.142
3,1772418041,0,566,135,701,1,4.225
4,1772418041,0,565,122,687,1,6.527
5,1772418042,0,563,122,685,1,5.848
6,1772418049,0,754,116,870,1,2.246
7,1772418060,0,669,108,777,1,2.224
8,1772418061,0,785,98,883,1,1.94
9,1772418074,0,733,119,852,1,2.402
10,1772418074,0,814,120,934,1,4.438
11,1772418078,0,788,106,894,1,2.492
12,1772418079,0,878,124,1002,1,2.536
13,1772418080,0,762,105,867,1,2.265
14,1772418083,0,682,102,784,1,2.054
15,1772418077,0,676,116,792,1,8.319
16,1772418091,0,864,137,1001,1,2.697
17,1772418096,0,975,126,1101,1,2.302
18,1772418103,1,981,128,1109,1,2.562
19,1772418106,1,1003,137,1140,1,2.552
20,1772418108,1,847,122,969,1,2.545
21,1772418111,1,1040,113,1153,1,2.477
22,1772418112,1,866,112,978,1,2.382
23,1772418113,1,1028,150,1178,1,2.956
24,1772418118,1,1070,138,1208,1,2.564
25,1772418121,1,782,109,891,1,2.114
26,1772418122,1,884,128,1012,1,2.523
27,1772418124,1,787,110,897,1,2.14
28,1772418125,1,1100,120,1220,1,2.176
29,1772418131,1,1108,124,1232,1,2.449
30,1772418132,1,1096,107,1203,1,2.646
31,1772418134,1,962,114,1076,1,2.436
32,1772418139,1,840,121,961,1,2.419
33,1772418143,1,974,115,1089,1,2.396
34,1772418152,1,902,104,1006,1,2.062
35,1772418157,2,940,97,1037,1,3.452
36,1772418165,2,935,120,1055,1,2.221
37,1772418166,2,946,127,1073,1,2.737
38,1772418168,2,995,114,1109,1,2.12
39,1772418170,2,939,140,1079,1,3.339
40,1772418173,2,1082,134,1216,1,2.586
41,1772418177,2,947,153,1100,1,4.474
42,1772418180,2,974,114,1088,1,2.169
43,1772418184,2,950,145,1095,1,2.646
44,1772418185,2,1064,114,1178,1,2.413
45,1772418188,2,978,141,1119,1,3.229
46,1772418193,2,964,125,1089,1,2.531
47,1772418195,2,986,108,1094,1,2.608
48,1772418196,2,1023,158,1181,1,3.168
49,1772418197,2,977,125,1102,1,2.535
50,1772418198,2,999,146,1145,1,2.83
51,1772418214,2,979,156,1135,1,2.986
52,1772418220,3,938,137,1075,1,2.764
53,1772418226,3,994,148,1142,1,3.241
54,1772418227,3,982,133,1115,1,2.679
55,1772418228,3,997,152,1149,1,2.77
56,1772418234,3,996,150,1146,1,7.712
57,1772418239,3,993,206,1199,1,3.759
