request_idx,timestamp,minute,tokens_in,tokens_out,tokens_total,ok_json,latency_s
0,1772502878,0,411,121,532,1,1.86
1,1772502879,0,406,83,489,1,1.12
2,1772502880,0,440,67,507,1,1.66
3,1772502881,0,410,76,486,1,1.047
4,1772502882,0,417,73,490,1,1.192
5,1772502883,0,488,77,565,1,3.119
6,1772502887,0,573,74,647,1,1.598
7,1772502891,0,588,76,664,1,1.475
8,1772502892,0,525,85,610,1,1.125
9,1772502893,0,655,72,727,1,1.018
10,1772502894,0,621,71,692,1,1.038
11,1772502895,0,667,73,740,1,1.478
12,1772502902,0,587,67,654,1,0.986
13,1772502903,0,701,68,769,1,1.014
14,1772502904,0,707,67,774,1,0.897
15,1772502912,0,638,73,711,1,1.271
16,1772502927,0,734,69,803,1,1.258
17,1772502928,0,707,74,781,1,1.022
18,1772502931,0,764,73,837,1,0.925
19,1772502932,0,786,69,855,1,1.047
20,1772502935,0,785,70,855,1,1.007
21,1772502951,1,655,73,728,1,1.497
22,1772502952,1,793,69,862,1,0.992
23,1772502953,1,723,104,827,1,1.319
24,1772502954,1,800,69,869,1,0.996
25,1772502955,1,779,70,849,1,1.188
26,1772502956,1,730,75,805,1,1.09
27,1772502959,1,785,71,856,1,0.945
28,1772502960,1,792,74,866,1,1.397
29,1772502961,1,753,84,837,1,1.191
30,1772502962,1,771,74,845,1,1.015
31,1772502971,1,718,72,790,1,1.109
32,1772502973,1,769,67,836,1,1.166
33,1772502974,1,766,72,838,1,1.036
34,1772502975,1,781,73,854,1,0.974
35,1772502988,1,719,90,809,1,1.035
36,1772502993,1,763,70,833,1,1.203
37,1772502994,1,711,72,783,1,1.169
38,1772502995,1,773,69,842,1,1.115
39,1772502996,1,771,71,842,1,1.089
40,1772503000,2,754,75,829,1,0.999
41,1772503016,2,756,69,825,1,0.846
42,1772503017,2,729,74,803,1,0.979
43,1772503018,2,719,69,788,1,0.806
44,1772503040,2,755,70,825,1,1.353
