minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,ok_json,invalid_json,cost_min_usd
0,9815,1350,11165,1.3118823529411765,1.304,17,17,0,0.0
1,2139,215,2354,1.2713333333333334,1.212,3,3,0,0.0
2,3607,366,3973,1.2162,1.212,5,5,0,0.0
3,3622,409,4031,1.5156,1.346,5,5,0,0.0
4,4345,440,4785,1.2761666666666667,1.2365,6,6,0,0.0
5,2950,302,3252,1.2065000000000001,1.1125,4,4,0,0.0
6,3681,365,4046,1.3484,1.373,5,5,0,0.0
7,3023,291,3314,1.26025,1.2305000000000001,4,4,0,0.0
8,5346,516,5862,1.3922857142857143,1.259,7,7,0,0.0
9,2298,220,2518,1.4866666666666666,1.497,3,3,0,0.0
10,3849,370,4219,1.1882,1.126,5,5,0,0.0
11,3075,297,3372,1.298,1.312,4,4,0,0.0
12,3052,299,3351,1.222,1.2334999999999998,4,4,0,0.0
13,4546,443,4989,1.1661666666666666,1.1284999999999998,6,6,0,0.0
14,2257,216,2473,1.4183333333333332,1.435,3,3,0,0.0
