request_idx,timestamp,minute,tokens_in,tokens_out,tokens_total,ok_json,latency_s
0,1772498252,0,400,82,482,1,1.143
1,1772498253,0,409,76,485,1,1.24
2,1772498254,0,407,85,492,1,1.501
3,1772498255,0,402,83,485,1,1.426
4,1772498256,0,450,89,539,1,1.304
5,1772498257,0,450,79,529,1,1.354
6,1772498267,0,613,77,690,1,1.017
7,1772498269,0,660,82,742,1,1.48
8,1772498270,0,589,72,661,1,1.217
9,1772498271,0,643,77,720,1,1.17
10,1772498272,0,612,90,702,1,1.397
11,1772498279,0,696,84,780,1,1.491
12,1772498285,0,673,73,746,1,1.235
13,1772498286,0,675,72,747,1,0.989
14,1772498289,0,712,84,796,1,1.364
15,1772498302,0,703,72,775,1,1.888
16,1772498308,0,721,73,794,1,1.086
17,1772498316,1,716,72,788,1,1.109
18,1772498360,1,714,72,786,1,1.212
19,1772498364,1,709,71,780,1,1.493
20,1772498389,2,703,74,777,1,1.113
21,1772498393,2,722,73,795,1,1.331
22,1772498403,2,708,69,777,1,1.073
23,1772498406,2,732,77,809,1,1.212
24,1772498415,2,742,73,815,1,1.352
25,1772498460,3,715,85,800,1,1.346
26,1772498464,3,718,75,793,1,1.669
27,1772498467,3,715,73,788,1,1.29
28,1772498477,3,722,71,793,1,1.278
29,1772498489,3,752,105,857,1,1.995
30,1772498492,4,714,75,789,1,1.424
31,1772498505,4,714,71,785,1,1.431
32,1772498527,4,752,70,822,1,1.231
33,1772498530,4,713,73,786,1,1.109
34,1772498534,4,731,77,808,1,1.242
35,1772498544,4,721,74,795,1,1.22
36,1772498569,5,727,78,805,1,1.608
37,1772498570,5,716,72,788,1,1.11
38,1772498572,5,747,75,822,1,1.115
39,1772498588,5,760,77,837,1,0.993
40,1772498637,6,727,73,800,1,1.22
41,1772498646,6,739,73,812,1,1.622
42,1772498647,6,728,71,799,1,1.115
43,1772498658,6,723,75,798,1,1.373
44,1772498671,6,764,73,837,1,1.412
45,1772498689,7,737,70,807,1,1.258
46,1772498700,7,776,74,850,1,1.203
47,1772498713,7,769,74,843,1,1.043
48,1772498714,7,741,73,814,1,1.537
49,1772498738,8,754,75,829,1,1.259
50,1772498745,8,746,73,819,1,1.113
51,1772498746,8,777,73,850,1,1.895
52,1772498763,8,743,73,816,1,1.226
53,1772498772,8,773,74,847,1,1.47
54,1772498786,8,786,72,858,1,1.547
55,1772498790,8,767,76,843,1,1.236
56,1772498822,9,762,71,833,1,1.645
57,1772498824,9,764,75,839,1,1.497
58,1772498831,9,772,74,846,1,1.318
59,1772498864,10,774,75,849,1,1.074
60,1772498887,10,761,71,832,1,1.473
61,1772498901,10,766,74,840,1,1.211
62,1772498903,10,774,77,851,1,1.126
63,1772498905,10,774,73,847,1,1.057
64,1772498938,11,759,79,838,1,1.211
65,1772498950,11,778,73,851,1,1.413
66,1772498953,11,777,73,850,1,1.427
67,1772498971,11,761,72,833,1,1.141
68,1772498989,12,760,79,839,1,1.17
69,1772498992,12,769,72,841,1,1.297
70,1772499018,12,761,74,835,1,1.364
71,1772499019,12,762,74,836,1,1.057
72,1772499040,13,757,77,834,1,1.036
73,1772499044,13,765,73,838,1,1.324
74,1772499048,13,759,73,832,1,0.977
75,1772499071,13,757,70,827,1,1.403
76,1772499088,13,760,77,837,1,1.204
77,1772499089,13,748,73,821,1,1.053
78,1772499110,14,748,72,820,1,1.435
79,1772499130,14,746,72,818,1,1.642
80,1772499141,14,763,72,835,1,1.178
